feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45
kills_ct,0.14727060566028038,0.0193582316426521,0.00046416443876307056,0.07053899476413616,-0.05661289467300261,0.02944652304969454,-0.042080755680495144,0.02009212853411889,0.016326440692085387,-0.0028959911636971605,0.029737687930583998,-0.0016060568035133477,0.011273236451921617,0.010796874756417149,0.03197773271097607,-0.02227581038856953,0.0038939237947685605,-0.01650787003532014,-0.04515026187526032,0.021939273738740786,-0.00018509297031309851,0.071429252094114,0.0257023418939114,0.008461188475025694,-0.0054790038202665245,0.02459922790921283,0.0537402371858193,-0.030647004487712202,-0.04844584648854895,-0.00578499540079714,0.053807320522057105,-0.03703073471454964,-0.03332158305079415,-0.04583187116904356,0.026064539587374813,0.015559316987747797,-0.007223536307910866,-0.037053927479090074,-0.015340340946531361,-0.0617259142774807,0.009508894321277425,-0.07408111232828773,0.02613442488928972,0.011660585213246671,-0.04266542839712445
kills_t,0.1461768306494251,0.01404728098097447,-0.05237443190861735,-0.06997267928487201,-0.03157017965882923,-0.04703990192415164,0.027754590449019872,-0.026206379618273913,0.011452871394861258,-0.013856316563074808,-0.027074927258588802,0.00995556981188878,-0.04279710652408261,-0.016354866104298055,-0.011104777810321154,0.03031604640177443,0.01633874724287919,-0.021004486989092554,-0.0056018966651828275,-0.02727502679813027,-0.00902596751325023,-0.02850769231935958,-0.02164679058714547,-0.043233203941917805,0.0260210873663902,0.011390817774138279,-0.008743285847178518,0.029347114803481202,-0.032652313209190154,-0.001961018061044425,0.0007951367000394449,-0.0017482511257895378,0.04306493071758344,0.01829075630455374,-0.0010761708012479443,0.011440922115969143,-0.04377074703125887,-0.03590658650833516,0.02952489362603785,0.06670049265468285,-0.006110010611148284,-0.01959230913481328,0.07861715456231687,-0.021163684129266683,-0.012472220269405324
deaths_ct,0.13695770976905342,-0.05330001998210809,0.01685424507844574,0.005436106356663459,-0.16055269745357714,0.029166505468823236,-0.04290512371945953,-0.0023148640009674204,0.002409647522973013,0.01401466374207401,-0.006864240096146057,0.00960660827964855,0.007343821370878058,-0.012956254413403784,0.03224629077696656,-0.06811631188943926,-0.08112843050552103,-0.031922375280747095,-0.019580943072775706,0.017894833758439296,-0.06703741319619384,0.009721537081130577,0.011563789394145235,0.03037295495129927,0.007410219029655829,0.007881488428126276,0.04139861009064906,-0.08642953875750692,-0.031705895593225286,0.015039712055372932,0.03407688557040045,0.03916712058533972,0.012368885882221722,0.0571762880070489,-0.010039706210878296,0.05802817294863241,-0.014704114111097677,0.050897004980653686,-0.03580006869244333,-0.15613465935374263,0.03350632261642174,-0.057787007124144654,-0.022317403276978523,-0.051630704149415924,-0.03883862541297808
deaths_t,0.14432163287330235,-0.03950258805069251,0.029596310954136673,0.025460718390020842,-0.08068237682509805,-0.06232651768345989,0.025095715113788927,-0.00014923256513589556,-0.006478215045586072,-0.04533416405814329,-0.014830222950986557,0.018049666883951047,0.009141253191046937,-0.020414389168177328,-0.0012761701007648254,0.030705588216071996,0.012971374076230406,-0.06444789430421465,0.029859562905255134,-0.03986002627685716,-0.010640579031040438,-0.044201032910059466,-0.04207138031151955,-0.1107703293716703,0.035533071598186194,0.03258025375500685,-0.013860151619029586,0.004527257773126834,0.02427781051364633,-0.0009381632186527059,-0.05632390921487526,-0.0059915749738028296,0.05877458826875431,0.031550737910085995,-0.041397216569476536,-0.008830069430278017,-0.009585053384947445,0.0583872962482508,-0.025229501369356803,0.11539826546031035,0.032504589678388526,-0.0312241437563556,0.06044972984419495,-0.014592506586872979,-0.04250010213689588
kpr_ct,0.06966882694503904,0.10021828654297787,-0.08918455101741951,0.21757843736427365,0.1644606628920801,0.05492663877976803,-0.012379292219929366,0.05794868104248521,0.03170141009319255,0.06778017873694708,0.062034538939643113,0.04779507871121573,-0.11259151936679931,0.030455953463057586,-0.026362763024060112,-0.03767614184386213,-0.038645097930456146,-0.09269333831528677,0.016135590110914907,-0.013931379407083368,-0.04267410418568791,0.02168312535209442,0.029901906681785072,0.003391243535221765,0.08531014758926,-0.07660112916740683,-0.029656682343026073,-0.044924506510688446,-0.03899585431175508,-0.0009904367953361345,0.007358473580036509,-0.04222557778149476,-0.029100327294868167,0.03875780663816057,-0.04743836234463075,0.011351577583463085,0.04286293531544828,-0.03526138478126041,-0.04730544084259813,-0.002370720558694037,-0.04059854197440873,-0.011993273121369843,0.08741786639320244,-0.02949055376810166,-0.023748237165091918
kpr_t,0.08148013612623796,0.031026267167989535,-0.1733844408582867,-0.19970680941265861,0.08231109137795253,-0.03747495178812603,0.059045812509134314,-0.004957681258670313,-0.09160500947424094,-0.030423716573765143,0.009666175599464588,0.0015906194019692371,-0.012504625930537139,-0.02181219803432572,0.008455413571057585,-0.0631643945907263,-0.017311980483519444,-0.030819580607783538,0.07290458635112829,-0.025171173170089156,-0.014141884243736823,0.054086645906142795,0.011250157416767673,0.048795329785638414,-0.042870060053488895,0.006628731764874817,0.021425888290178455,0.028604812544416745,-0.012113057306959201,0.08571462352312467,0.015734429756183395,0.02870215445302568,-0.06978657015733963,-0.06717261614631546,0.030610893124891264,-0.06237982579167045,0.07061815329677526,-0.0035233391506482546,0.07421981860898944,-0.006586200862588942,-0.00624952781713841,-0.010416189833880055,-0.03397191250244417,-0.010619556756203359,-0.005707156740898139
dpr_ct,-0.09629524570827593,-0.07547320791385706,-0.08139648990960877,-0.03347932081617444,-0.1492374784559365,0.19084222382142446,0.04940526575845369,0.06763518828867457,-0.013915658892185767,0.09404843272015281,0.04937764593721171,0.037033000730798085,-0.20640134775328067,-0.021170011533672144,-0.006556594121671144,-0.1357008457319681,-0.07758346739993628,-0.01852228756234254,0.02099031606389315,-0.048054485651769396,-0.0559562352352124,0.030300269477602344,-0.05073244762729644,0.06418484910328587,0.06251719081660674,0.07091680206136657,-0.0584760552014791,-0.12628671313596135,-0.035621407824894535,-0.00531720529348341,-0.0242010664223109,0.00912704349821417,0.06299860870099289,0.10448299321836292,-0.028955080205098516,0.06806706869264874,0.0017877627882227909,-0.0378605633587949,-0.03861867492603769,0.04566426023146997,-0.013563113561871273,-0.048407446974876533,0.06809267289260391,-0.08926134008422504,-0.14438709328168242
dpr_t,-0.06217749435401212,-0.1251530778717671,-0.038577625655063515,0.08727271640612427,-0.0096401472764579,-0.06191125107523626,0.23088094146811103,0.14509699078625737,-0.10154874357211113,-0.09992898190951213,0.07679550455915021,0.020476405352413712,0.17551282423434506,-0.09628594641480322,-0.002579785424982956,-0.13123853240721922,0.09826097335400287,-0.14300497115732413,0.0019324807115147537,0.0338830275063692,0.00589774083114053,0.14095821573039932,-0.011216051120732665,-0.14040151992108307,0.016428234384030127,0.08236846635424705,0.04774455653858281,0.09375346962833297,-0.12875282126341295,0.07991502043778026,-0.0852586518777653,0.1406933336094549,-0.005332331519872318,0.03466610551914444,-0.15414463133298806,-0.012072343961923606,-0.1517350206459441,-0.017147985565940042,0.03644105532884703,0.03224863097012945,-0.03296033465254018,-0.09755518658602572,0.06547666015981023,-0.002279570941862496,-0.028727706783961054
kdr_ct,0.10084419465708273,0.12229000143515563,-0.021516979669108333,0.15573653046940755,0.17917229321117212,-0.03488939082051372,-0.02912356824517831,0.017089347289503454,0.02886204989443153,0.003665364515918871,0.024838207115382926,-0.004830090859475722,0.01967777040777824,0.024328874563054725,-0.0060494346272294,0.06224841510454507,0.036933544612934924,-0.04416995294028444,-0.016716407561239696,0.023439837834325294,0.035379299127198345,0.03127756395962009,0.04303484586622087,-0.025152851643618773,0.007365419938178283,-0.05129978510862805,0.016782907836004994,0.05518053036779033,-0.0077337928629841735,-0.03015853762609829,0.041864202276130885,-0.10007396728985915,-0.06631404314188534,-0.06470147159142156,0.02074873149430846,-0.00937292324708022,0.07256634215874458,-0.10600171477285486,-0.014438824993163124,0.0162336246164204,-0.037065266141159105,0.038684652246105414,0.06319479191017746,0.03989943385720639,0.08227192593294753
kdr_t,0.09261494428631868,0.0748996347283537,-0.13858956149472929,-0.19949632791862057,0.0736608562023627,-0.012349169198661275,-0.020294961218900065,-0.055433246242430456,-0.030721999664183403,0.01310342650219918,0.002701382780249284,-0.001642031164724167,-0.0714213810127562,0.014555899157753353,0.014993038282492585,-0.007754356617962945,-0.05383567791583406,0.023578868469013303,0.051678602285087735,-0.029131574568718538,0.016125465281385837,-0.004160462327404746,0.0038684680471909455,0.07137357462573474,-0.053749396212883646,-0.027469324998376607,-0.00559093432026403,0.014080853332307719,-0.003145834388746077,0.026664116864288982,0.020516981868013345,0.009036409430093206,-0.039246960617787735,-0.05750449497644542,0.08675774173400239,-0.03846470469338499,0.0980112033578846,-0.01666219087780185,0.06301936205853492,-0.0536600671414205,-0.04340879500705868,-0.009531769572062622,-0.03693469490418467,0.004923694567338779,-0.04117412835006619
