feature,importance
rifle_kill_share,0.12407765
awp_kill_share,0.07715911
avg_distance_to_team_centroid,0.05722067
damage_diff_per_round,0.05559612
adr,0.05525457
relative_team_centroid_distance,0.053190142
grenades_per_round,0.045986336
time_near_enemy_rate,0.03819322
kpr,0.031170897
damage_taken_per_round,0.029901354
avg_distance_to_team_centroid_std,0.025754383
damage_per_round,0.024657315
smokes_per_round,0.022787124
avg_distance_to_enemy,0.022671653
adr_std,0.022549115
survival_rate,0.022088723
opening_duel_success,0.021443028
flashbangs_per_round,0.017942995
first_contact_rate,0.01691574
avg_distance_to_enemy_std,0.016586782
kast_std,0.015360826
fire_nades_per_round,0.015330081
impact_std,0.014883073
avg_distance_to_closest_teammate_std,0.013351111
rounds_played,0.011971878
time_stationary_rate,0.011510196
avg_distance_to_closest_teammate,0.011186633
util_damage_per_round,0.010610146
opening_kill_rate,0.010357639
opening_death_rate,0.010233988
multi_kill_rate,0.010071647
death_traded_rate,0.010006528
first_contact_rate_std,0.009495546
assists_per_round,0.00904601
he_grenades_per_round,0.0088662
relative_team_centroid_distance_std,0.008608535
avg_distance_moved_per_round_std,0.0069752512
time_near_enemy_rate_std,0.005764723
rating_std,0.00565745
avg_distance_moved_per_round,0.0050727413
trade_participation,0.0047308286
flash_assists_per_round,0.0045867795
time_stationary_rate_std,0.0033509773
trade_kill_rate,0.0018242662
decoys_per_round,0.0
