feature,importance
awp_kill_share,0.12483342
rifle_kill_share,0.118175976
avg_distance_to_enemy,0.087767564
damage_per_round,0.07060149
grenades_per_round,0.04088716
avg_distance_to_closest_teammate,0.037884943
avg_distance_moved_per_round,0.028103715
time_stationary_rate,0.028047342
smokes_per_round,0.02796782
trade_kill_rate,0.0237614
adr,0.02303441
relative_team_centroid_distance,0.022819553
first_contact_rate,0.02206723
opening_duel_success,0.020379074
avg_distance_to_team_centroid,0.02004144
opening_kill_rate,0.019767635
relative_team_centroid_distance_std,0.016845087
kpr,0.016748121
kast_std,0.014796788
time_near_enemy_rate,0.014592227
survival_rate,0.014389541
opening_death_rate,0.014050806
avg_distance_to_closest_teammate_std,0.012655777
time_near_enemy_rate_std,0.012636897
decoys_per_round,0.012410334
avg_distance_to_team_centroid_std,0.011881397
first_contact_rate_std,0.01117243
damage_diff_per_round,0.011171427
avg_distance_moved_per_round_std,0.01108899
trade_participation,0.010821788
avg_distance_to_enemy_std,0.009361116
flashbangs_per_round,0.008833865
multi_kill_rate,0.007902176
he_grenades_per_round,0.0074227545
damage_taken_per_round,0.0073998594
util_damage_per_round,0.007319003
flash_assists_per_round,0.007279938
time_stationary_rate_std,0.0070786146
fire_nades_per_round,0.0070697437
death_traded_rate,0.0068507977
adr_std,0.00537003
impact_std,0.004715961
rounds_played,0.004522829
assists_per_round,0.00435378
rating_std,0.0031178193
