player_name,rounds_played_CT,rounds_played_T,first_kill_rate_CT,first_kill_rate_T,first_death_rate_CT,first_death_rate_T,entry_attempt_rate_CT,entry_attempt_rate_T,entry_success_rate_CT,entry_success_rate_T,early_round_kill_rate_CT,early_round_kill_rate_T,late_round_kill_rate_CT,late_round_kill_rate_T,late_round_presence_rate_CT,late_round_presence_rate_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_time_to_first_engagement_seconds_CT,avg_time_to_first_engagement_seconds_T,avg_survival_ticks_CT,avg_survival_ticks_T,avg_survival_seconds_CT,avg_survival_seconds_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,trade_participation_rate_CT,trade_participation_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,avg_nearby_teammates_CT,avg_nearby_teammates_T,time_spent_alone_ratio_CT,time_spent_alone_ratio_T,avg_nearby_teammates_at_engagement_CT,avg_nearby_teammates_at_engagement_T,engagement_isolation_rate_CT,engagement_isolation_rate_T,position_entropy_CT,position_entropy_T,rounds_played_total,pc1,pc2,cluster
910,9.72,9.44,0.15952836052836053,0.12184637584637585,0.0847964257964258,0.049572316572316574,0.2443247863247863,0.1714186924186924,0.6013333333333333,0.5552380952380953,0.0,0.0,0.4960831390831391,0.5927254967254967,0.7484568764568764,0.8533598623598624,0.15952836052836053,0.12184637584637585,0.2443247863247863,0.1714186924186924,0.2443247863247863,0.1714186924186924,0.6013333333333333,0.5552380952380953,0.7943379953379953,0.851960483960484,0.61089121989122,0.6715334665334666,0.18281118881118882,0.22428804528804527,0.041561771561771564,0.07155555555555555,120.5558616938617,124.9572481962482,8.983920745920745,8.296625374625375,3.5723550893550895,3.940450216450216,0.33247119547119547,0.45007814407814406,0.47928116328116327,0.3635885225885226,0.3434014874014874,0.4509401709401709,0.12993739593739595,0.17953724053724052,2585.864002886003,2721.756958041958,40.4041250450938,42.527452469405596,6067.290783216783,6650.571377844378,94.80141848776223,103.9151777788184,2183.4083937314263,2215.95035822942,0.4639316239316239,0.40141691641691646,0.0954145854145854,0.25463858363858366,0.0785058275058275,0.22642224442224443,0.06572027972027972,0.11283405483405483,2.4676208236208237,2.8098613608613605,0.0327906645776211,0.08815971749301772,0.1442261072261072,0.3392562992562993,12223.038027972027,13649.656506049507,3562.4955322455326,4531.960028305028,3875.213361305361,5321.07114996115,2357.9209324009325,3275.7236471306474,665.5195501904356,449.8405467079506,0.3352898899346177,0.13223349876253174,1.67397362733554,2.128541722427764,0.3121556116352484,0.1625895687729538,2.642610389610389,2.84183460983461,0.04574891774891775,0.04007692307692308,1.8626494441774382,2.319786479440676,19.16,6.31026012185297,-1.6024164064420885,2
Aleksib,8.806451612903226,9.064516129032258,0.0708839547549225,0.06550644695805986,0.03909041622514108,0.10510889595329823,0.10997437098006359,0.17061534291135808,0.3897849462365592,0.24462365591397847,0.0,0.0,0.4073677956030897,0.4064214933285142,0.7914712316989356,0.7665729537171663,0.0708839547549225,0.06550644695805986,0.10997437098006359,0.17061534291135808,0.10997437098006359,0.17061534291135808,0.3897849462365592,0.24462365591397847,0.5435000588700778,0.5587945050943154,0.5675143957876405,0.7132863604874989,0.3240403492775409,0.2411525118356238,0.05105432202206396,0.045546478610994735,81.8203645289983,80.2130758657324,15.478410288846721,10.647862057824106,14.820876424861243,12.600039566168599,0.4800260671228413,0.4554531490015361,0.0,0.0,0.530873248615184,0.7032514080901178,0.19436763952892985,0.13420378904249872,3350.282647907648,3185.8656426011266,52.348166373557,49.779150665642604,6129.703817793002,6264.437967435263,95.77662215301565,97.88184324117599,2114.1398761812084,2401.3134780624337,0.44218698231980963,0.3108368860740777,0.2449355304194014,0.27470558115719407,0.13808168428661788,0.15736368838835632,0.14623696986125828,0.20527250000684535,2.181871027981085,2.593528604012475,0.062225917265530596,0.0632685006833505,0.28431865414787616,0.3626361883952017,12991.03896583071,13819.021024284591,3636.032221510305,3287.3043783593594,4377.5019450399905,5090.735832710406,2063.21583221754,2719.4394416515383,737.3978739318582,462.6545009504587,0.36420536481765964,0.12252105884172443,1.4930647843046836,2.0461952365150213,0.3158279260495348,0.1680857699891226,1.1528324721873109,2.040669366475818,0.17870060047479402,0.1365731043150398,1.6162069900834868,2.0984671658120404,17.870967741935484,1.3752443627417512,0.7226456773980114,1
BELCHONOKK,10.038461538461538,11.384615384615385,0.10918675341752265,0.07462046500508039,0.11418474687705457,0.09935897435897437,0.22337150029457722,0.17397943936405474,0.3918803418803419,0.42948717948717946,0.0,0.0,0.46960027152334843,0.4300910627833705,0.7645470982009444,0.8207006668545129,0.10918675341752265,0.07462046500508039,0.22337150029457722,0.17397943936405474,0.22337150029457722,0.17397943936405474,0.3918803418803419,0.42948717948717946,0.6977753016214555,0.6438947804332419,0.7219367171290249,0.7707832765525073,0.20849801907494214,0.2260118087041164,0.013403263403263404,0.04871794871794872,90.23854350777427,90.13122176968331,15.60309882425267,8.816713414790339,5.75594181459566,5.6487181621797005,0.44674908424908427,0.5981227106227106,0.0,0.003205128205128205,0.7216575091575093,0.8100732600732601,0.1764041514041514,0.13342490842490842,3687.493573368826,3926.3884498542393,57.61708708388791,61.34981952897249,6880.789503978927,6944.148023771101,107.51233599967074,108.50231287142346,2270.7282808589976,2334.0994452001805,0.3620969842123688,0.2992857569780647,0.17719780219780218,0.42527472527472526,0.1340038166961244,0.22497224997225,0.16833102794641255,0.22421894344971266,2.427140487717411,2.681709743248205,0.05868048278546508,0.07977687726536058,0.30233484464253696,0.4491911934219627,11157.241423213538,13074.912042017811,2668.046474679167,3983.201907494215,3972.512630638592,3857.8570478666634,2185.040520590521,3310.0147147724074,844.3311711345867,539.9779394388538,0.4254817878615299,0.1709609996741562,1.6061664421582253,2.132418685423885,0.33519763522623325,0.1772438188688367,1.4745972426134368,2.18746425143484,0.29402117226003865,0.12430429048076107,1.9410414714579594,2.252219338961748,21.423076923076923,2.602242647219139,2.4633970820970883,1
Banjo,11.4,9.9,0.11696969696969697,0.06971361971361971,0.05060606060606061,0.10516705516705516,0.16757575757575757,0.17488067488067488,0.5833333333333333,0.35,0.0,0.0,0.7056060606060607,0.417005217005217,0.8296969696969697,0.8010045510045509,0.11696969696969697,0.06971361971361971,0.16757575757575757,0.17488067488067488,0.16757575757575757,0.17488067488067488,0.5833333333333333,0.35,0.9213636363636363,0.6761849261849262,0.5634848484848485,0.6635031635031635,0.29424242424242425,0.19965589965589964,0.022424242424242423,0.023376623376623377,124.17939393939393,95.10217005217005,21.352272727272727,9.615467865467865,14.227272727272728,2.9164169164169165,0.6206809856809856,0.6361363636363636,0.0,0.0,0.702030192030192,0.7300757575757576,0.18911588411588412,0.19492424242424242,2875.1072252747254,3162.5786724386726,44.923550394917584,49.41529175685426,6607.821212121213,7127.308852258851,103.24720643939395,111.36420081654455,2292.025302134084,2650.614383030535,0.47287878787878784,0.36896436896436896,0.211002886002886,0.36454545454545456,0.17833333333333332,0.2384004884004884,0.07212121212121211,0.22223887223887223,2.294090909090909,2.5696914196914196,0.08545158628278013,0.09493665519207314,0.25045454545454543,0.4606393606393606,13788.43984848485,11435.361688311688,4346.259242424242,3715.431335331335,4288.859848484849,4245.6659285159285,2254.3807575757573,2683.7924464424464,743.5065380216032,471.92196369004813,0.39844739600991297,0.16297647305443166,1.7575035091956852,2.248758376473809,0.2548962795963826,0.16182627067572916,1.7732967032967033,2.403059163059163,0.06162087912087912,0.11976911976911978,1.8511823016200188,2.2609288945428965,21.3,3.9995609229529103,3.866610368797986,1
Brollan,9.428571428571429,9.428571428571429,0.14997680890538034,0.12175324675324675,0.18258348794063078,0.23315295815295814,0.3325602968460111,0.35490620490620495,0.475,0.3380952380952381,0.0,0.0,0.40052566481137913,0.2887806637806638,0.6970083487940631,0.7227272727272728,0.14997680890538034,0.12175324675324675,0.3325602968460111,0.35490620490620495,0.3325602968460111,0.35490620490620495,0.475,0.3380952380952381,0.6382575757575758,0.5898268398268398,0.734848484848485,0.8112914862914863,0.287569573283859,0.22972582972582972,0.047108843537414964,0.04895382395382396,93.38289270253556,86.43239538239538,14.798113790970932,10.041558441558442,7.683920841063697,4.616522366522366,0.4628324056895486,0.5751653108795967,0.0,0.005494505494505495,0.6818027210884353,0.6555034251462822,0.1937074829931973,0.1664912468483897,3271.7672335600905,3775.2938517831376,51.121363024376414,58.988966434111525,6216.324992269635,6518.760064935065,97.13007800421305,101.8556260146104,2250.605075942466,2338.8906725862635,0.4056895485466914,0.25977633477633477,0.15377241805813235,0.24920793492222065,0.10890538033395177,0.17045454545454544,0.17667748917748918,0.14397546897546895,2.226399196042053,2.706421356421356,0.0510408532920426,0.07307385744951019,0.28558286951144096,0.3144300144300144,11974.27049319728,12299.935533910535,2645.174559369202,3496.383116883117,4373.098933209648,5225.40523088023,2311.0623067408783,2630.818578643579,805.0964370607277,438.8793562127215,0.4124938207679235,0.08162531367309843,1.6612224864696048,2.3016855730144066,0.323010109873037,0.12041338644375622,1.249206349206349,2.277334570191713,0.24708049886621314,0.11431663574520716,1.7932149445298475,2.2164696063257265,18.857142857142858,-0.8958767042756982,0.9515461151145106,5
Dawy,9.4,9.3,0.13045454545454546,0.09898989898989899,0.0996969696969697,0.19037518037518036,0.23015151515151513,0.2893650793650794,0.42666666666666664,0.23500000000000001,0.0,0.0,0.39454545454545453,0.37147186147186145,0.7084848484848485,0.7167965367965368,0.13045454545454546,0.09898989898989899,0.23015151515151513,0.2893650793650794,0.23015151515151513,0.2893650793650794,0.42666666666666664,0.23500000000000001,0.7226262626262626,0.6570274170274171,0.7056565656565656,0.902987012987013,0.29808080808080806,0.3529004329004329,0.008333333333333333,0.0,103.52474747474749,105.5160028860029,15.756161616161615,10.423694083694084,4.600606060606061,4.364545454545455,0.463989898989899,0.5176190476190476,0.0,0.0,0.7659090909090909,0.8057142857142857,0.12297979797979797,0.08428571428571427,2333.2575757575755,3097.96262987013,36.45714962121212,48.40566609172078,5760.661767676768,5486.297936507936,90.0103401199495,85.7234052579365,2290.8245898845,2290.2140080404565,0.31343434343434345,0.21095238095238095,0.37742424242424244,0.23321428571428568,0.2565151515151515,0.13686868686868686,0.10505050505050506,0.25871572871572873,2.6565656565656566,3.1272150072150073,0.1016297237223616,0.042835816144639674,0.36156565656565653,0.3955844155844156,9984.471262626263,9649.925988455989,2397.6991414141416,2938.163737373737,3673.532121212121,2685.04253968254,1821.9248989898988,2679.7321067821067,540.7273738839482,349.6456125342678,0.23565107503726548,0.07198064462374158,1.972087964468178,2.6487822566644326,0.1978309916834383,0.06649981164376542,1.672020202020202,2.6242532467532467,0.10242424242424242,0.05075757575757576,1.859127961116681,2.2184179431427737,18.700000000000003,-4.353081785136184,1.3893178369177839,3
EliGE,9.307692307692308,8.76923076923077,0.16512654012654013,0.10486371346099853,0.14602480852480854,0.12437667912781035,0.31115134865134864,0.22924039258880888,0.43846153846153846,0.2961538461538461,0.0,0.0,0.530565268065268,0.3696340361498732,0.682059607059607,0.6621564458668531,0.16512654012654013,0.10486371346099853,0.31115134865134864,0.22924039258880888,0.31115134865134864,0.22924039258880888,0.43846153846153846,0.2961538461538461,0.7836663336663338,0.6423718061727111,0.7007783882783882,0.8982625217919336,0.21493090243090243,0.15653973979765837,0.016483516483516484,0.0215372862431686,106.32117882117882,90.05750523985817,17.158603896103894,11.036192013115091,7.987412587412587,6.54642105004096,0.4544261294261294,0.5000610500610501,0.0,0.0,0.7404339250493096,0.6659340659340659,0.13106508875739645,0.15778388278388278,2884.1186674436676,3012.7498806748804,45.06435417880731,47.074216885545006,5372.671936396936,4926.007104258236,83.94799900620212,76.96886100403493,2123.3333571118883,2117.157100101693,0.3141566766566767,0.14099600751184463,0.18436179205409975,0.30006105006105005,0.1685980685980686,0.22257541352563978,0.11417748917748917,0.1849004188370704,2.4268939393939393,3.05000379208524,0.0668138400918479,0.06453060695671868,0.2827755577755578,0.4074758323627102,9002.438727938728,7702.206574421055,2171.0721778221778,2087.4650920221056,3439.337562437562,2682.3305618966256,1454.9711413586413,1518.2207332134933,544.2184319983658,407.01187481891253,0.2696319163738067,0.1565935732113009,1.6742818197289357,2.124233547892967,0.2631501301083397,0.15547695995067792,2.2004800754800753,1.8326201576201577,0.03886113886113886,0.15607448107448108,1.7582516659241167,1.9732456842861104,18.07692307692308,-5.603999257428094,-1.4089546897100853,5
Ex3rcice,9.8,9.4,0.08710907393260335,0.07998582463288345,0.08924183006535948,0.1801624649859944,0.17635090399796283,0.26014828961887787,0.456,0.39,0.0,0.0,0.46818317630082334,0.4257557083439436,0.7142072829131653,0.7825665902724727,0.08710907393260335,0.07998582463288345,0.17635090399796283,0.26014828961887787,0.17635090399796283,0.26014828961887787,0.456,0.39,0.6603279857397504,0.6086566505390034,0.7141409048467873,0.7971631440454969,0.23389287836346662,0.17504235633647397,0.03540259740259741,0.01490909090909091,92.9983834988541,84.49846872082166,14.085055937526526,9.681806213394449,5.867045072574484,7.363449961802903,0.4366342546342546,0.5568225108225109,0.013333333333333332,0.007777777777777777,0.7296701076701076,0.691062049062049,0.19788544788544787,0.19674603174603175,2722.5709103119107,3097.2490081030082,42.540170473623604,48.394515751609504,5870.103218572277,6584.962391562685,91.72036279019183,102.89003736816696,2261.9866091664367,2965.660777660679,0.3073924115100586,0.3050186741363212,0.25137018537018535,0.2623362193362193,0.1499719887955182,0.1584172820643409,0.14961208725914607,0.16718775995246585,2.438758848994143,2.8168697054579406,0.06709188618531041,0.059033238869023466,0.2995840760546643,0.32560504201680673,9833.187334182157,9693.890601986248,2598.2542327476444,2764.273788897377,3364.30386282998,3465.0104200831847,2179.767226041932,1842.6963823105,718.2502194075689,487.47754987449497,0.37951788086539046,0.18783469122138996,1.713019845966719,2.316195109863541,0.28880007298466404,0.18324307784417826,1.592931512931513,1.9896426906426907,0.20743478743478744,0.13064590964590964,1.8422457794536362,2.0780097092375307,19.200000000000003,-1.808983575008255,0.9795700822959212,3
FaNg,9.0,8.5,0.09722222222222221,0.0625,0.09722222222222221,0.11309523809523808,0.19444444444444442,0.17559523809523808,0.375,0.25,0.0,0.0,0.4027777777777778,0.35416666666666663,0.6805555555555556,0.7261904761904762,0.09722222222222221,0.0625,0.19444444444444442,0.17559523809523808,0.19444444444444442,0.17559523809523808,0.375,0.25,0.8194444444444444,0.5,1.0069444444444444,0.8958333333333333,0.11805555555555555,0.13392857142857142,0.020833333333333332,0.0,101.67361111111111,89.10714285714286,21.104166666666664,6.625,8.958333333333332,7.767857142857142,0.5681547619047619,0.5705128205128205,0.0,0.038461538461538464,0.3794642857142857,0.4423076923076923,0.33363095238095236,0.2692307692307692,2605.7976190476193,4387.759722222222,40.71558779761905,68.55874565972222,5808.597222222223,5325.261904761905,90.75933159722223,83.20721726190476,3848.8718594984593,1942.8950201013913,0.10416666666666666,0.2232142857142857,0.3773809523809524,0.44871794871794873,0.3194444444444444,0.20833333333333331,0.06944444444444445,0.15476190476190477,3.4166666666666665,3.0327380952380953,0.09671717171717172,0.0805984555984556,0.38888888888888884,0.3630952380952381,6491.305555555556,9925.279761904761,1251.1458333333333,2650.5833333333335,3212.909722222222,3586.098214285714,849.1736111111111,1996.7619047619048,688.8642162108338,414.05900178633425,0.3124714742401232,0.11024576958022975,1.7042819299922494,2.408717973223487,0.32636339322142693,0.1352524223622283,1.5491071428571428,2.104166666666667,0.19642857142857142,0.1111111111111111,1.7214297994351908,2.0703670879103306,17.5,-5.066532951846321,-1.9577578067097747,3
FalleN,9.727272727272727,9.590909090909092,0.11497870816052634,0.0427194018103109,0.099823408914318,0.15452085792994882,0.21480211707484437,0.19724025974025974,0.47803030303030297,0.2053030303030303,0.0,0.0,0.5781652690743599,0.3626426603699331,0.732983178437724,0.6815230224321134,0.11497870816052634,0.0427194018103109,0.21480211707484437,0.19724025974025974,0.21480211707484437,0.19724025974025974,0.47803030303030297,0.2053030303030303,0.7753988435806618,0.552577725304998,0.5697020151565606,0.7838252656434475,0.2728211182756637,0.266435458480913,0.03615702479338843,0.07092680047225502,106.54977093613456,81.85984848484848,15.79835618926528,7.220287288469106,8.504461447643266,4.721743408107044,0.4818460579824216,0.5117202242202242,0.03281024531024531,0.05869130869130868,0.5473747212383576,0.6231143856143856,0.1879574970484061,0.1743992118992119,2813.3040584415585,3558.3369834710743,43.95787591314935,55.599015366735536,6166.22135919636,6096.8319460842185,96.34720873744313,95.26299915756591,2238.862082437549,2525.722303574947,0.4258284644648281,0.24316706021251475,0.13586514495605406,0.23116328116328114,0.12165864438591711,0.10815623770169225,0.12906436997346088,0.21348878394332937,1.9606184219820584,2.570513577331759,0.06127319579283113,0.04025109687769135,0.250723014359378,0.3216450216450216,11129.327179133998,11955.784656631247,2681.3156187247096,3448.584573002755,4084.7911068729245,5039.29179948839,2074.624272444727,3069.376406926407,792.2632252100047,452.182430898375,0.41589689937528257,0.12704783993046967,1.4705760787317614,2.161657690114129,0.34659754256949193,0.15197750922754205,2.175252525252525,2.806434474616293,0.10452741702741702,0.06466778171323626,1.8174104830032485,2.125083008282417,19.31818181818182,0.7984397661666041,-0.9120188878716312,1
