cluster,player_count,rounds_played_CT,rounds_played_T,first_kill_rate_CT,first_kill_rate_T,first_death_rate_CT,first_death_rate_T,entry_attempt_rate_CT,entry_attempt_rate_T,entry_success_rate_CT,entry_success_rate_T,early_round_kill_rate_CT,early_round_kill_rate_T,late_round_kill_rate_CT,late_round_kill_rate_T,late_round_presence_rate_CT,late_round_presence_rate_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_time_to_first_engagement_seconds_CT,avg_time_to_first_engagement_seconds_T,avg_survival_ticks_CT,avg_survival_ticks_T,avg_survival_seconds_CT,avg_survival_seconds_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,trade_participation_rate_CT,trade_participation_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,avg_nearby_teammates_CT,avg_nearby_teammates_T,time_spent_alone_ratio_CT,time_spent_alone_ratio_T,avg_nearby_teammates_at_engagement_CT,avg_nearby_teammates_at_engagement_T,engagement_isolation_rate_CT,engagement_isolation_rate_T,position_entropy_CT,position_entropy_T,rounds_played_total,pc1,pc2
0,12,6.777625152625153,7.431166056166056,0.13187978935746794,0.07309498925832959,0.08306502112305683,0.09851858592414912,0.21494481048052475,0.1716135751824787,0.41569195520088376,0.2879432488807489,0.0,0.0,0.5362344170379885,0.3289395545177906,0.671077459247102,0.6533470709835246,0.13187978935746794,0.07309498925832959,0.21494481048052475,0.1716135751824787,0.21494481048052475,0.1716135751824787,0.41569195520088376,0.2879432488807489,0.7544786108402181,0.5237234375849437,0.6267032570604,0.642549914555207,0.21839303636178634,0.1644048226733464,0.01672689909297052,0.03498771566856974,109.0159278634725,76.35213712347125,13.285684012581335,7.129862064943573,6.0353655975307765,3.890865845265995,0.37434634930342353,0.41707220742803724,0.11639815846546615,0.0590658886417815,0.4414759770271446,0.47260312438883867,0.17322965654868128,0.1794206578804793,2882.4220343615866,3096.651754900193,45.03784428689979,48.38518367031551,5541.83451715695,5229.878031786276,86.59116433057734,81.71684424666056,1728.4991813331362,1880.5434891430016,0.3587743357832644,0.23042099434209162,0.0970614378753115,0.26298381143444166,0.09723395404198976,0.1634369438895336,0.10137263943067515,0.14669346656913318,2.158648841238127,2.338139385961784,0.050627937157196885,0.058491749309816515,0.19860659347266488,0.31013041045866674,9582.006904198644,9036.194515274134,2614.3537760891554,2757.406912398013,3336.976001441515,3330.9435067529157,1665.1158601856148,2010.7799412422125,614.4229667205269,404.252543156558,0.2872249277232483,0.13110418750302336,1.4889669162023533,1.7928850900599664,0.27096598319462245,0.14989839134569125,1.4261082591096328,1.9160373852338137,0.14764531845003456,0.09116915932392122,1.5687636987289661,1.76571856853121,14.20879120879121,-2.8695476558091646,-5.669457073802492
1,30,9.453859177859178,9.407214082214084,0.11415175801607874,0.0694575900508099,0.12267977926990531,0.17217072723709584,0.23683153728598408,0.24162831728790574,0.4150341134174467,0.2606572751322751,0.0,0.0,0.46454064759288843,0.30972940095771473,0.6984824060509985,0.7235495889557119,0.11415175801607874,0.0694575900508099,0.23683153728598408,0.24162831728790574,0.23683153728598408,0.24162831728790574,0.4150341134174467,0.2606572751322751,0.6974784422419577,0.5295307083040482,0.7758235679107178,0.8697386094965549,0.24683128000358392,0.21375723460609977,0.03361552104654345,0.038469937215318065,99.03043957151107,80.53100086860076,15.766418552371738,8.57154057330458,8.908609159264586,5.332449786951917,0.5092619125761462,0.5513845323547705,0.02578293542876876,0.018858770858770857,0.6215885010013475,0.6399380373957405,0.21146579558559556,0.19326783908072423,2904.908617630011,3279.6792046310197,45.389197150468924,51.24498757235968,5912.924034911123,5714.394727626061,92.3894380454863,89.2874176191572,2460.975988266886,2259.5582501573053,0.2847556338269574,0.2187985444132494,0.19082296541488974,0.2883314940259968,0.13137672421986146,0.16106313839218206,0.14213383150592535,0.20333750167786385,2.675540822218553,3.028082384577098,0.05145519250235522,0.0556396520637046,0.2735105557257868,0.3644006400700459,9571.68743542387,9873.357994107335,2434.417772391965,2775.4375927343217,3494.6940522743853,3526.4536640849783,1675.6265220525586,2192.1186668287874,623.3421669252805,425.9565476777612,0.30440105333857675,0.13174455588531075,1.80737767538027,2.391832150450416,0.2574015754868079,0.1355792218417709,2.035914333454998,2.5890005085014702,0.1316687280526723,0.07285299103397394,1.8058058965932942,2.1507568478726973,18.861073260073262,-3.7366106326925457,-1.1291107726732392
2,39,9.717936865386251,9.468626915666954,0.15011935818398744,0.12906347982196054,0.09903178081088344,0.17874185169352924,0.2491511389948709,0.3078053315154898,0.553631036637875,0.3922133871202838,0.0,0.0,0.5960683271329846,0.43579535589118307,0.7406908977905434,0.7076492853719564,0.15011935818398744,0.12906347982196054,0.2491511389948709,0.3078053315154898,0.2491511389948709,0.3078053315154898,0.553631036637875,0.3922133871202838,0.8673667712681535,0.7044708982497591,0.6808463897845614,0.8284247002801396,0.2730119419085787,0.2324252585580509,0.03227637454141514,0.027514228949744268,117.52629319403026,100.52365352719126,17.97274251382596,10.059062244978707,9.918627104879874,5.653877955291193,0.49993856986535834,0.6042364897810177,0.01001793849702875,0.003177467298737524,0.7369573755499758,0.7021446359113538,0.15829513362172767,0.21380269774256783,3054.853993660946,3281.0490038815296,47.73209365095228,51.2663906856489,6194.3968371723995,5971.584207239369,96.78745058081874,93.30600323811514,2335.9337649018526,2284.988984260583,0.3854695459880484,0.25135186969196327,0.17220983709660795,0.24612769636884024,0.14599171690478455,0.18009826136202167,0.14377758176166233,0.22175904480720368,2.2869539260292546,2.7803160479629585,0.06727698375404043,0.06603261613268559,0.28976929866644685,0.4018573061692253,11542.288002398474,10667.00031124341,3002.8126918268254,2952.5476635958385,3959.0510711395564,3687.1459882520126,2062.5410220951285,2345.31946938336,631.110152274922,485.83492223069464,0.2941241920222946,0.16358252429976408,1.7352818072785505,2.2290850903600945,0.2645193891296794,0.16417388293654986,1.9368534441104874,2.307402691966381,0.12605115912376283,0.10266022950102495,1.827898533329755,2.174111318853046,19.186563781053206,-1.2489977484314538,2.4990025337513657
3,31,9.701670136101514,9.588232915827664,0.14899465225499348,0.07320659236593226,0.08641237628286332,0.06485029005752957,0.2354070285378568,0.13805688242346184,0.5548874344013888,0.37103176984785596,0.0,0.0,0.5592727356438685,0.467873358059362,0.7952932188382207,0.8446510172144921,0.14899465225499348,0.07320659236593226,0.2354070285378568,0.13805688242346184,0.2354070285378568,0.13805688242346184,0.5548874344013888,0.37103176984785596,0.8011939512106009,0.6765112880392536,0.6253616526206682,0.7453173025902454,0.2117553004402323,0.23054796286472237,0.04647620065400392,0.08607564242437928,119.32700035942663,97.9066986723653,9.307163932869535,6.700763997178092,7.933668769511968,3.4806739112913334,0.3150716622200168,0.4183438348018441,0.4746819250896634,0.3049931113782051,0.24585701068189425,0.4383120667603606,0.17646366832971158,0.18929032267849938,3258.3203480235343,3356.6720391002254,50.91125543786772,52.44800061094102,6473.821281683524,6556.330427448589,101.15345752630506,102.4426629288842,2357.508127678606,2299.032149105377,0.43446845320164484,0.3315857970728703,0.1611934645991405,0.29820708057542744,0.13112213168975323,0.20281388274652842,0.10569211662682498,0.14805109708998984,2.4504699017929163,2.880937817814036,0.05525659960059959,0.07149280802541803,0.2368142483165782,0.3508649798365183,11719.021796960475,11799.846263659432,3436.6406848647866,3918.290874132169,3563.8702915413305,4473.476800431753,2201.5552550045736,2704.4033259399,639.7007955477045,423.3948672645763,0.30391157275898834,0.11290623048377146,1.6568200062919856,2.224905594630225,0.2987120475631721,0.1475139216607219,1.9246909350579593,2.6383480479400014,0.14979416755101463,0.06800119807207188,1.8747969961548574,2.219235489014642,19.289903051929176,4.804756000645143,-2.8547944456633254
4,58,9.703457126633317,9.79042257691678,0.09657221955701517,0.08164811736377481,0.0818621812104925,0.11811832971645131,0.17843440076750766,0.19976644708022614,0.4152082156891838,0.3415540387546139,0.0,0.0,0.5182020019585811,0.41519203352662376,0.7827017854985122,0.7720870068153637,0.09657221955701517,0.08164811736377481,0.17843440076750766,0.19976644708022614,0.17843440076750766,0.19976644708022614,0.4152082156891838,0.3415540387546139,0.7145579671133615,0.6599259105807843,0.6556529519965829,0.7723792287546879,0.26481112818776453,0.22161236637435475,0.03414820901605365,0.03701977611599244,99.10992606510753,94.02108220702691,15.786548070107472,9.890939482123857,9.38928703051761,6.07541389781078,0.47132400933290486,0.5917822749305554,0.010469265100888654,0.009069553849080585,0.6746146956676682,0.7154624729502472,0.17495938543120923,0.18233200453511544,3133.811763943813,3180.6007083320255,48.965808811622075,49.6968860676879,6349.05410683857,6288.401913028144,99.20397041935266,98.25627989106475,2305.1546774462204,2346.365221708134,0.4015826404193814,0.2944587476993271,0.18361341208934243,0.2923821625551398,0.13222264020051247,0.19100888208582087,0.13791416376968857,0.17974683243830034,2.3828691536538824,2.793911213343097,0.058279057147313594,0.07079336710971175,0.270136803970201,0.37075571452412126,11567.791171326346,11715.63889158576,3092.8261093551696,3338.007013052629,4050.5233576843375,4006.7545541308923,2010.32335106837,2611.929618743044,734.7838013805235,519.1613691133185,0.3779073410168699,0.19042241994306455,1.6444696466118454,2.120124750925265,0.30876342396226425,0.19848013602686804,1.784817037494563,2.4307640133268857,0.16083513430771806,0.11059382400482366,1.826403587600116,2.1652307732743843,19.4938797035501,0.798213224470925,1.6024885700877058
