cluster,player_count,rounds_played_ct,rounds_played_t,awpy_rounds_ct,awpy_rounds_t,kills_ct,kills_t,deaths_ct,deaths_t,kpr_ct,kpr_t,dpr_ct,dpr_t,kdr_ct,kdr_t,survival_rate_ct,survival_rate_t,damage_ct,damage_t,awpy_damage_ct,awpy_damage_t,damage_taken_ct,damage_taken_t,damage_per_round_ct,damage_per_round_t,damage_taken_per_round_ct,damage_taken_per_round_t,damage_diff_per_round_ct,damage_diff_per_round_t,util_damage_ct,util_damage_t,util_damage_per_round_ct,util_damage_per_round_t,adr_ct,adr_t,kast_rounds_ct,kast_rounds_t,kast_ct,kast_t,impact_ct,impact_t,rating_ct,rating_t,assists_ct,assists_t,assists_per_round_ct,assists_per_round_t,flash_assists_ct,flash_assists_t,flash_assists_per_round_ct,flash_assists_per_round_t,trade_kills_ct,trade_kills_t,traded_deaths_ct,traded_deaths_t,trade_kill_rate_ct,trade_kill_rate_t,death_traded_rate_ct,death_traded_rate_t,trade_participation_ct,trade_participation_t,opening_kills_ct,opening_kills_t,opening_deaths_ct,opening_deaths_t,opening_kill_rate_ct,opening_kill_rate_t,opening_death_rate_ct,opening_death_rate_t,opening_duel_attempts_ct,opening_duel_attempts_t,opening_duel_success_ct,opening_duel_success_t,rounds_with_2k_ct,rounds_with_2k_t,rounds_with_3k_ct,rounds_with_3k_t,rounds_with_4k_ct,rounds_with_4k_t,rounds_with_5k_ct,rounds_with_5k_t,multi_kill_rounds_ct,multi_kill_rounds_t,multi_kill_rate_ct,multi_kill_rate_t,rifle_kills_ct,rifle_kills_t,awp_kills_ct,awp_kills_t,smg_kills_ct,smg_kills_t,pistol_kills_ct,pistol_kills_t,shotgun_kills_ct,shotgun_kills_t,scout_kills_ct,scout_kills_t,util_kills_ct,util_kills_t,rifle_kill_share_ct,rifle_kill_share_t,awp_kill_share_ct,awp_kill_share_t,grenades_thrown_ct,grenades_thrown_t,he_grenades_thrown_ct,he_grenades_thrown_t,flashbangs_thrown_ct,flashbangs_thrown_t,smokes_thrown_ct,smokes_thrown_t,fire_nades_thrown_ct,fire_nades_thrown_t,decoys_thrown_ct,decoys_thrown_t,grenades_per_round_ct,grenades_per_round_t,he_grenades_per_round_ct,he_grenades_per_round_t,flashbangs_per_round_ct,flashbangs_per_round_t,smokes_per_round_ct,smokes_per_round_t,fire_nades_per_round_ct,fire_nades_per_round_t,decoys_per_round_ct,decoys_per_round_t,rounds_played_total,pc1,pc2
0,17,52.1764705882353,51.705882352941174,52.1764705882353,51.705882352941174,30.470588235294116,28.11764705882353,39.11764705882353,39.35294117647059,0.5775015768597882,0.5429654234463637,0.7566559547702914,0.761772804882711,0.77880285959034,0.7121744699380036,0.2433440452297086,0.238227195117289,4358.235294117647,4100.0,3517.0588235294117,3208.3529411764707,5452.882352941177,5448.235294117647,83.12580565466126,78.96226389065984,105.16648338511311,105.61715848212229,-22.040677730451847,-26.654894591462444,263.94117647058823,190.0,4.915997577682797,3.6427432906001433,67.08336167709187,62.02342507318217,36.23529411764706,35.0,68.55732698848942,67.40626108991938,0.9212882270482669,0.8514546524181581,0.8838529491069745,0.837214170600195,11.058823529411764,11.294117647058824,0.2166409991930258,0.216550790148648,1.8235294117647058,2.235294117647059,0.03583582084031497,0.04626254943606665,8.117647058823529,10.176470588235293,8.0,10.294117647058824,0.28380977859802436,0.36501990472754525,0.2066732638235766,0.2624380329549628,0.31267202407015726,0.3968405167243987,5.352941176470588,3.176470588235294,5.176470588235294,6.705882352941177,0.1791541287929067,0.10895547910484599,0.13257429165762152,0.1694559732423524,10.529411764705882,9.882352941176471,0.5003661113568234,0.3366777013835837,6.647058823529412,6.352941176470588,1.2352941176470589,1.2941176470588236,0.058823529411764705,0.058823529411764705,0.0,0.0,6.647058823529412,6.352941176470588,0.12837709970879468,0.12255008281813756,18.705882352941178,20.470588235294116,1.8235294117647058,1.1176470588235294,2.176470588235294,0.8823529411764706,6.705882352941177,4.9411764705882355,0.058823529411764705,0.0,0.058823529411764705,0.0,0.4117647058823529,0.23529411764705882,0.5985148865358115,0.726759812505258,0.05582915954432982,0.040054034278933205,101.82352941176471,111.41176470588235,23.823529411764707,14.058823529411764,22.529411764705884,35.588235294117645,30.764705882352942,34.529411764705884,24.58823529411765,26.705882352941178,0.11764705882352941,0.5294117647058824,1.9251207985954455,2.1741399381277318,0.44685519025630976,0.27068683345321576,0.4263377602178145,0.7076797560764099,0.5920646043307894,0.6639118742332649,0.4579491448176092,0.5198852817306228,0.0019140989729224938,0.011976192634218535,103.88235294117646,-6.68712738135067,-1.0508377501512718
1,16,128.4375,131.25,128.4375,131.25,94.5625,89.5,76.875,91.875,0.7443643851964635,0.6848447226104593,0.5987457321794671,0.701703361174321,1.2541360844745013,0.9801991383781162,0.40125426782053286,0.29829663882567903,12862.5,12439.0,10296.3125,9660.4375,11090.0,13159.8125,101.20024349813507,95.28555879562246,86.65342112079688,100.51840194766895,14.546822377338192,-5.232843152046481,775.625,526.0,6.269940332007351,3.9736227904422816,80.80313309097195,73.87096921098217,101.9375,94.75,79.51178402420872,72.21739048804409,1.2849158177414954,1.1380069168380376,1.2367204366085303,1.0528446434559637,33.875,27.3125,0.2663898413333654,0.20939104745483375,4.3125,3.625,0.03417188149868868,0.028265277402425112,18.6875,24.125,19.3125,25.375,0.19997817548795227,0.27134669788830873,0.24950750109632241,0.2752033102614156,0.2987626695175641,0.37794693490478065,15.375,12.0625,9.9375,16.625,0.15988087628265077,0.13252978227164247,0.132845537498466,0.17879671487200596,25.3125,28.6875,0.6026489582410635,0.41685000602884387,23.625,21.75,6.4375,6.0625,1.0,1.125,0.0625,0.0,23.625,21.75,0.1877164826054133,0.16653735351627993,72.0,69.5625,1.375,0.3125,4.4375,2.5625,14.9375,14.875,0.0,0.0,0.125,0.125,0.9375,0.875,0.7603272842567377,0.7746260000663311,0.01308323307366678,0.003272611379495431,285.625,259.875,70.375,37.5625,64.3125,78.75,81.4375,74.25,69.1875,68.75,0.3125,0.5625,2.2407233245335654,1.9814920442552406,0.5577635560975169,0.2836372325409486,0.5041479886830037,0.6034318730859662,0.6365048909005987,0.5684700991029801,0.5399646674025439,0.5215281131521234,0.0023422214499021626,0.004424726373222306,259.6875,7.009805165090154,-1.8101288879973887
2,9,94.33333333333333,96.33333333333333,94.33333333333333,96.33333333333333,57.333333333333336,53.666666666666664,55.666666666666664,70.22222222222223,0.6157895668193151,0.563473908436621,0.5905715453007596,0.7343766830356286,1.0495711755389177,0.7712268002820967,0.4094284546992404,0.26562331696437125,8069.111111111111,7752.777777777777,6551.444444444444,6192.444444444444,7845.666666666667,10049.777777777777,86.73204805854182,81.5212113647321,83.23826299770235,105.6512484446949,3.493785060839472,-24.130037079962815,559.4444444444445,395.55555555555554,6.2012550653855,3.7971827930255873,70.37414566133737,64.86054411495746,72.0,64.77777777777777,76.42884514229543,66.69338288308339,0.9954270962461275,0.8930071227928956,1.069845930141997,0.8685708931322291,22.88888888888889,22.88888888888889,0.24595310637136214,0.2346983880351671,2.888888888888889,5.333333333333333,0.032444933093293084,0.05675843139861804,12.0,17.11111111111111,15.333333333333334,16.11111111111111,0.21149583922527807,0.32467710211548356,0.2710611932269469,0.21891825928373412,0.287368008153668,0.34447840732601004,9.0,5.555555555555555,8.777777777777779,12.222222222222221,0.15727413654910588,0.10795134267966724,0.15543700466707155,0.17415398182697236,17.77777777777778,17.77777777777778,0.540421382583854,0.3310405643738977,12.0,12.222222222222221,3.111111111111111,2.6666666666666665,0.5555555555555556,0.6666666666666666,0.1111111111111111,0.0,12.0,12.222222222222221,0.12924471259075881,0.1315838656509053,38.666666666666664,38.0,0.4444444444444444,0.5555555555555556,7.222222222222222,2.888888888888889,9.666666666666666,10.88888888888889,0.0,0.0,0.2222222222222222,0.1111111111111111,0.7777777777777778,0.6666666666666666,0.6826914328968731,0.7186546824352542,0.005486968449931411,0.009802900286903556,241.0,261.8888888888889,45.55555555555556,19.77777777777778,65.77777777777777,93.77777777777777,75.0,91.11111111111111,54.55555555555556,56.888888888888886,0.1111111111111111,0.3333333333333333,2.584536918289779,2.6576763350923773,0.5037741785199197,0.20705882532222844,0.7114468942081451,0.9546740730153167,0.7881750108993943,0.9142869584835935,0.5802149087363936,0.579017374050739,0.0009259259259259223,0.0026391042204995667,190.66666666666666,0.6085216308084633,-1.8900931087893156
3,10,78.6,78.5,78.6,78.5,52.6,57.0,51.4,57.2,0.6611888085130967,0.7289038140138112,0.6607950852983568,0.7306025062446678,1.0147029015524016,1.0035509849939328,0.3392049147016431,0.2693974937553321,7267.6,7861.4,5956.1,6214.7,7378.4,8152.2,91.50401575024155,100.807156063174,94.68938415165158,103.89925274985096,-3.18536840141004,-3.092096686676959,392.3,371.1,4.989471875685386,5.005758489312045,75.07570126082409,79.61358651445953,59.5,52.8,75.23864517749317,67.33144555413449,1.0964559550936293,1.2313354289721716,1.0706031608270048,1.064617642938901,17.8,15.9,0.22424824415665046,0.20425830224032268,1.8,0.9,0.02276624988539911,0.01058922221783635,10.3,16.2,13.6,13.6,0.20966203148444987,0.29591482864675633,0.2664173635152792,0.23770869235233608,0.3106588233457953,0.3845749420030913,7.7,8.4,7.0,9.5,0.1444424595294654,0.15265702921827198,0.1322104249749638,0.16346141761359528,14.7,17.9,0.5183796758796759,0.48469507101086046,12.5,14.1,2.5,5.0,0.6,1.2,0.0,0.1,12.5,14.1,0.15786910359134923,0.17895957631752085,39.2,43.5,0.7,0.7,3.3,2.8,8.5,8.4,0.0,0.0,0.0,0.0,0.4,1.1,0.7404981778622494,0.7688970005440161,0.01094370711448176,0.01153662268120098,165.9,139.4,41.4,20.3,37.8,39.4,45.8,39.3,40.9,40.4,0.0,0.0,2.127144681330061,1.7796579758826212,0.5315312367982006,0.2775094020640146,0.4875082946476287,0.4930776550814059,0.5835308540439493,0.49348417573697123,0.524574295840283,0.5155867430002294,0.0,0.0,157.1,-0.6887358524476761,-1.3111478367708582
4,12,62.333333333333336,61.416666666666664,62.333333333333336,61.416666666666664,48.666666666666664,26.833333333333332,40.416666666666664,46.166666666666664,0.7823649687216259,0.43701211333164364,0.6653063136276557,0.7602962403450785,1.1876328081156642,0.5809991925072777,0.33469368637234426,0.23970375965492144,6416.083333333333,4065.6666666666665,4985.166666666667,3239.6666666666665,5778.166666666667,6462.333333333333,102.8862741850317,66.76624971966396,94.4203427812976,105.44562587981211,8.465931403734084,-38.679376160148145,266.6666666666667,254.58333333333334,4.2389791935083805,4.166542179721285,79.46048222776028,52.8701488738993,47.333333333333336,39.416666666666664,74.97611765473381,63.98771039942405,1.3390795489615197,0.6234948544054691,1.193711983058548,0.6909907648384,12.0,10.666666666666666,0.18664256109553312,0.1721647252647958,1.1666666666666667,0.8333333333333334,0.019066633130017375,0.017337312340234595,9.166666666666666,7.583333333333333,9.666666666666666,12.833333333333334,0.18004061582602313,0.26891813258851777,0.24307194981341007,0.26993616064127796,0.3057867882242575,0.3261863983566602,6.25,4.25,5.0,8.916666666666666,0.12787486191563935,0.16845172750731482,0.1233247964325252,0.20357766474454367,11.25,13.166666666666666,0.5549879042526101,0.32275373579721406,12.416666666666666,5.833333333333333,3.5,1.25,0.5,0.25,0.0,0.0,12.416666666666666,5.833333333333333,0.19949706807120035,0.09455731295310442,34.333333333333336,19.083333333333332,2.25,0.8333333333333334,2.4166666666666665,1.4166666666666667,8.25,4.75,0.0,0.0,0.08333333333333333,0.0,0.5,0.5,0.6903781833928587,0.7016205467626139,0.0542544261294261,0.04837627482555018,132.25,113.25,31.333333333333332,15.0,28.083333333333332,33.833333333333336,38.416666666666664,34.0,34.25,30.25,0.16666666666666666,0.16666666666666666,2.1295468789783967,1.878718510163915,0.48696321542049686,0.24244062591044316,0.4721680227607426,0.5873007644895134,0.6210533206461518,0.5587312744532076,0.545834983290335,0.4878170002094921,0.0035273368606701916,0.0024288451012588917,123.75,-4.795943592550713,-0.5627177846658372
5,3,172.66666666666666,154.66666666666666,172.66666666666666,154.66666666666666,135.66666666666666,84.33333333333333,99.0,114.66666666666667,0.7830412559328223,0.5453288646837033,0.5725401606425703,0.7412512218963832,1.3637433187763222,0.7395327059043874,0.42745983935742965,0.2587487781036168,18399.0,11751.666666666666,14709.666666666666,9350.0,14637.666666666666,16042.333333333334,106.3050155166119,75.99002932551319,84.66363179992697,103.72364194944839,21.641383716684924,-27.733612623935205,1741.3333333333333,604.0,10.110715589631253,3.903616813294233,85.03153523183643,60.45985197598102,141.0,110.0,81.57402336619204,71.12833403155985,1.3863586162833148,0.8617205697528277,1.307744681361811,0.8665786137690267,50.666666666666664,37.333333333333336,0.2926706827309236,0.24141879625750592,7.0,10.666666666666666,0.04022909821102586,0.0690127077223851,22.333333333333332,25.666666666666668,28.333333333333332,34.333333333333336,0.16334589631441573,0.3031624643836353,0.28343389894545007,0.29672238610291707,0.2919861263234757,0.3878927524088814,22.666666666666668,12.0,7.0,19.666666666666668,0.16420170785640528,0.14435379818289334,0.07024730250802856,0.1711008100388631,29.666666666666668,31.666666666666668,0.7601626016260162,0.3814060335799467,34.333333333333336,19.0,11.333333333333334,3.0,1.0,0.6666666666666666,0.0,0.0,34.333333333333336,19.0,0.19747170500182545,0.12285993576316152,99.66666666666667,54.666666666666664,0.6666666666666666,1.0,13.333333333333334,10.333333333333334,16.333333333333332,16.333333333333332,1.3333333333333333,0.0,0.0,0.0,2.6666666666666665,0.6666666666666666,0.7271960844267781,0.6547139042703797,0.0053675170497599995,0.0112785154919986,468.3333333333333,429.6666666666667,118.0,30.333333333333332,110.66666666666667,178.33333333333334,123.66666666666667,131.66666666666666,116.0,88.66666666666667,0.0,0.6666666666666666,2.7111856516977,2.7795559279430244,0.6840315808689302,0.196201647814551,0.6376871120847024,1.1532048596564726,0.7173694779116465,0.8523669878508588,0.6720974808324206,0.5734813573523251,0.0,0.0043010752688172,327.3333333333333,12.276908338203128,-3.4805339621728586
6,8,78.625,76.625,78.625,76.625,53.125,42.25,44.75,52.375,0.6836340299934828,0.5479961029842804,0.581889766465555,0.6811829366345478,1.1931022687343815,0.8063125753077846,0.418110233534445,0.31881706336545224,8350.375,6224.125,5614.5,4516.0,6656.0,7576.625,107.23085511723167,79.85850075427408,84.98470149788378,98.94024579605527,22.246153619347886,-19.081745041781197,325.875,159.125,3.8489136212046478,1.8832549977360813,72.87859456781979,57.989216298537286,58.875,51.625,74.71225209819563,67.39817785142917,1.1250516452557033,0.8423540561166112,1.1329718673442384,0.8681851547250161,14.5,15.625,0.18158672506542833,0.19831428480294488,2.75,6.75,0.03563114183535026,0.08990438142724701,8.5,10.5,7.375,12.0,0.15666680168528543,0.25084914082084747,0.1699900787314196,0.22116326399459113,0.20313595519213526,0.2871195481795514,11.125,5.0,7.0,5.625,0.21270953809709053,0.11640195315352828,0.16221535513222796,0.10708904529386894,18.125,10.625,0.6014956718473342,0.4863053065355697,12.625,9.25,2.875,2.0,0.125,0.375,0.125,0.0,12.625,9.25,0.16460859828825042,0.11885318916632849,8.0,13.5,31.875,18.75,1.375,1.0,9.25,7.5,0.25,0.0,1.625,1.0,0.25,0.25,0.15790079726418582,0.331752946831021,0.5947840848164989,0.4317216971588954,126.625,167.0,26.625,4.125,36.625,77.5,36.75,54.5,26.625,30.75,0.0,0.125,1.6119689843141296,2.196140947645107,0.32644775637450574,0.04798514776907874,0.4902982177349453,1.0114842814504263,0.46511103180448865,0.7314949725717225,0.33011197840018974,0.40353180901177427,0.0,0.0016447368421052624,155.25,-2.8052531491554906,6.896141880078023
7,5,130.8,135.4,130.8,135.4,113.8,100.6,69.6,86.0,0.86655364381268,0.740475108524226,0.5346024624639083,0.6359488424395915,1.6291043690608127,1.1662621133559807,0.46539753753609175,0.3640511575604085,16420.4,14881.4,10967.8,10423.4,10301.6,12189.2,126.40030919548992,109.26694401119077,78.91661808740123,90.10567583372261,47.4836911080887,19.161268177468152,578.0,377.4,4.38347310320202,2.7401005075602463,84.54589750945173,76.48437584939639,103.0,105.8,78.82601334408562,77.78985010093945,1.478213751609836,1.2469100289535815,1.3570580324464694,1.1762034305736757,21.6,29.8,0.17437707874454858,0.220008751196685,4.6,9.6,0.03836304257991,0.07296739988141257,19.8,28.0,15.2,24.2,0.17130644070493695,0.27835157199930516,0.21819610709536433,0.2807760891590679,0.26337623220153333,0.38405294037111465,22.2,15.8,10.2,9.0,0.192823293059914,0.15420487136432942,0.14608963727004823,0.10173597949818221,32.4,24.8,0.6722770828761612,0.63664512944766,31.2,25.0,7.6,5.8,2.2,0.6,0.0,0.2,31.2,25.0,0.23567657242356038,0.18469071102362053,23.0,45.2,63.6,34.2,3.6,1.2,18.8,16.4,0.0,0.0,1.8,1.2,1.6,1.0,0.2080566086083556,0.43143106942273174,0.5579131418649331,0.3500101132920309,249.8,314.6,52.4,17.2,70.8,138.4,70.4,100.2,56.0,57.8,0.2,1.0,1.9162716132595647,2.3695021784154173,0.3939230949773118,0.12412995689113664,0.5503344547019247,1.052618869002965,0.5418582254425628,0.7504248900229158,0.4279580359399636,0.43417498202301774,0.00219780219780218,0.008153480475381999,266.2,9.219513995592525,7.794740113845334
