cluster,player_count,rounds_played_CT,rounds_played_T,first_kill_rate_CT,first_kill_rate_T,first_death_rate_CT,first_death_rate_T,entry_attempt_rate_CT,entry_attempt_rate_T,entry_success_rate_CT,entry_success_rate_T,early_round_kill_rate_CT,early_round_kill_rate_T,late_round_kill_rate_CT,late_round_kill_rate_T,late_round_presence_rate_CT,late_round_presence_rate_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_time_to_first_engagement_seconds_CT,avg_time_to_first_engagement_seconds_T,avg_survival_ticks_CT,avg_survival_ticks_T,avg_survival_seconds_CT,avg_survival_seconds_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,trade_participation_rate_CT,trade_participation_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,avg_nearby_teammates_CT,avg_nearby_teammates_T,time_spent_alone_ratio_CT,time_spent_alone_ratio_T,avg_nearby_teammates_at_engagement_CT,avg_nearby_teammates_at_engagement_T,engagement_isolation_rate_CT,engagement_isolation_rate_T,position_entropy_CT,position_entropy_T,rounds_played_total,pc1,pc2
0,66,9.35184688853741,9.219446006530028,0.1254506813673481,0.10454443482386452,0.11185117045603303,0.1787382095608984,0.23730185182338115,0.28328264438476297,0.45598900946876947,0.329123660946415,0.0,0.0,0.5115062749311496,0.3443967974246025,0.7120380862277927,0.6923265770856821,0.1254506813673481,0.10454443482386452,0.23730185182338115,0.28328264438476297,0.23730185182338115,0.28328264438476297,0.45598900946876947,0.329123660946415,0.7560603826185132,0.5932023540335172,0.723585386969549,0.8409808802104339,0.2486348818581656,0.22053261596891335,0.030122240656027113,0.03028189814479756,104.96830077151061,88.12384890934435,16.308277806553054,8.979255579214607,8.760238833219514,5.227487661218662,0.4874199256003687,0.5604682847176461,0.01777400433551221,0.011753948979003873,0.6597919917390525,0.6542778644359584,0.18690654776360618,0.1969734591277567,2954.2590061826854,3214.7666312711367,46.16029697160446,50.23072861361151,5982.182208627247,5675.812162109303,93.47159700980073,88.68456503295786,2314.8727720277857,2228.8596695528504,0.33355230911056205,0.22027040137697615,0.1753907263574471,0.2713209796606899,0.13205924246412382,0.17240267797895867,0.137206428688453,0.21424907627954576,2.475931419738207,2.850349796921662,0.05615085807581817,0.06137048888624229,0.2692656711525768,0.3866517542585044,10342.225941929804,9856.712080237801,2647.2077852329567,2732.584351253773,3685.6857656274124,3494.7753537639037,1815.031671304385,2182.2401224471355,631.6093999969778,439.3721808394528,0.30496522007668936,0.14195497893733394,1.7482004218147036,2.284311936150623,0.26270004690233506,0.14184819636322346,1.873919547530338,2.368339841858465,0.13547638414876503,0.08450606075639604,1.7942386186739192,2.116108347941527,18.571292895067437,-3.2381179704412646,0.0797729492504833
1,70,9.530661610564048,9.664920305687161,0.1090144088082417,0.081020168888744,0.08131267919066769,0.11688135001604492,0.1903270879989094,0.1979015189047889,0.4490014545172521,0.3378138475167127,0.0,0.0,0.5435129930017708,0.435312177700656,0.7751337087751563,0.773358111038379,0.1090144088082417,0.081020168888744,0.1903270879989094,0.1979015189047889,0.1903270879989094,0.1979015189047889,0.4490014545172521,0.3378138475167127,0.7496526101792417,0.6747408637133878,0.6536915992677801,0.7627812759868087,0.27182280170897094,0.21788368340141173,0.03337272150508144,0.03658260378047104,103.75392298551832,95.3359919070701,16.357603636794508,10.019330241510946,9.663691332711101,6.1403565752928975,0.47940202081809064,0.5895565040828668,0.009800273809333324,0.0071784753126472815,0.6807467892872331,0.7093918513118584,0.1708528126115731,0.1883953995392117,3134.571077674732,3252.5776196295965,48.977673088667686,50.821525306712445,6313.88070160559,6298.037580901479,98.65438596258734,98.4068372015856,2299.464780054365,2327.45284542552,0.3997343504908976,0.29917626940406794,0.1764688677428377,0.28317319990164574,0.13342646518827592,0.1870083075569835,0.13937740968698425,0.17793192293862192,2.334200755943873,2.767345139612261,0.05988940210226301,0.06942719575578778,0.2728038748752602,0.3649402304956054,11591.14705309072,11748.99786523181,3104.565879590099,3364.8917081396476,4025.107179445833,3994.0415600224032,2035.4538642706768,2617.617249537747,712.7371955522545,522.9665599356149,0.35752561940637995,0.19003814645824918,1.6447999231382546,2.097058837447826,0.30090458137409903,0.19962003069113654,1.8259985531219767,2.4098038419053953,0.15229949409832705,0.11452474442322307,1.8125332025658234,2.1559612261824626,19.19558191625121,0.9179823411955284,1.5251949151564406
2,34,9.503849855831405,9.432904025711002,0.1520892514510962,0.07141158633930628,0.08506289602149135,0.06473773080721938,0.23715214747258753,0.13614931714652567,0.5526219949729533,0.36806904419547565,0.0,0.0,0.5648689545119622,0.4593631334710523,0.7850372571744018,0.831811197605257,0.1520892514510962,0.07141158633930628,0.23715214747258753,0.13614931714652567,0.23715214747258753,0.13614931714652567,0.5526219949729533,0.36806904419547565,0.8150325673980631,0.6620383661363075,0.6249173612338796,0.7386683766349655,0.21056123521041678,0.2248133411911471,0.04603432300526128,0.08538558885929742,121.16058879666653,95.62397424821731,9.297676557012128,6.54182877277659,7.717568893566158,3.311790453536118,0.31305221520331683,0.41599395026186214,0.47130056372549256,0.29708946134078623,0.24227580517043878,0.4264043609165658,0.1740802645712497,0.19249171396591286,3213.046233711719,3299.639753132653,50.20384740174561,51.5568711426977,6400.268674999336,6458.514209905107,100.00419804686463,100.9142845297673,2315.008010219254,2258.840643284172,0.43075681163696955,0.323803320857174,0.15657577899656494,0.290529617402753,0.1317565524290267,0.19745755653172314,0.10444842498815908,0.14494929552070612,2.4331372095667017,2.8485631292898974,0.057938779687204754,0.06936173395758173,0.2362049774171858,0.34240685205242927,11545.243993106633,11558.162593191106,3394.0859894941514,3843.5237268726146,3520.1498838478747,4423.384939658913,2154.7762443407228,2630.227766111807,634.0293411975754,417.87253170841285,0.301028260961905,0.11112352982469349,1.6467164993761803,2.193661961711446,0.2957859856331125,0.1475980923122143,1.9239479923298608,2.600810959635346,0.1472779974127956,0.06505045312977924,1.8541301774096428,2.1853211148905665,18.936753881542405,4.395794769571661,-3.2949605503377266
