cluster,player_count,rounds_played_CT,rounds_played_T,first_kill_rate_CT,first_kill_rate_T,first_death_rate_CT,first_death_rate_T,entry_attempt_rate_CT,entry_attempt_rate_T,entry_success_rate_CT,entry_success_rate_T,early_round_kill_rate_CT,early_round_kill_rate_T,late_round_kill_rate_CT,late_round_kill_rate_T,late_round_presence_rate_CT,late_round_presence_rate_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_time_to_first_engagement_seconds_CT,avg_time_to_first_engagement_seconds_T,avg_survival_ticks_CT,avg_survival_ticks_T,avg_survival_seconds_CT,avg_survival_seconds_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,trade_participation_rate_CT,trade_participation_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,avg_nearby_teammates_CT,avg_nearby_teammates_T,time_spent_alone_ratio_CT,time_spent_alone_ratio_T,avg_nearby_teammates_at_engagement_CT,avg_nearby_teammates_at_engagement_T,engagement_isolation_rate_CT,engagement_isolation_rate_T,position_entropy_CT,position_entropy_T,rounds_played_total,pc1,pc2
0,20,9.93366813960893,9.578897287653866,0.12735076631521436,0.08338535277981796,0.08363805713875673,0.15187538261121417,0.2109888234539711,0.23526073539103215,0.49484245127030213,0.3054523125967831,0.0,0.0,0.512689562786379,0.35013391539224425,0.7493111996733368,0.7358381517400173,0.12735076631521436,0.08338535277981796,0.2109888234539711,0.23526073539103215,0.2109888234539711,0.23526073539103215,0.49484245127030213,0.3054523125967831,0.7483643789018914,0.5639452031403972,0.6802900001269825,0.8057124940164213,0.3029820881683904,0.2857289748455272,0.0658011443948314,0.08570108153995946,105.76990572985753,84.71446774434604,17.986404809860822,8.976557914512306,13.631975976891407,7.34933492400806,0.49758896272918607,0.549551838465226,0.011186861935984744,0.010737924052068788,0.6515916832715801,0.6688803880451907,0.180932987340283,0.19813827609673734,2804.923599190185,2942.9653942697687,43.82693123734664,45.983834285465136,6231.7120804905935,6029.94090644242,97.37050125766552,94.21782666316281,2282.399343844849,2260.815844823845,0.3801432989119873,0.26840799624041733,0.18373253664709346,0.24535603534916922,0.1271833177375746,0.13797214737437172,0.13458612326725677,0.18113714294041494,2.366697518406809,2.8010859987969003,0.0554518137545061,0.05239918587886936,0.26176944100483135,0.31910929031478663,12045.29821507973,12234.61727067641,3238.7851601299667,3506.554551948165,4027.9472198725525,4780.544887185208,2071.5144047378367,2572.4860427619196,671.5293800931684,476.08063417109815,0.33040911302851883,0.1609954741849049,1.6955836408837937,2.2145898498884793,0.2932980079467146,0.1724334615399264,1.9404855940894943,2.4235188495332447,0.1373440915705682,0.09828767078956235,1.8418338762447608,2.2084006754137944,19.512565427262796,0.04423028740669942,0.7660111146472481
1,31,9.655144081510942,9.596917779351237,0.14528797586686548,0.07321335873892254,0.08594876059747344,0.0676427691527382,0.23123673646433895,0.14085612789166077,0.5506483938720257,0.3712385523127029,0.0,0.0,0.5535292184084157,0.47438707937064933,0.7930168661586422,0.8409085617305024,0.14528797586686548,0.07321335873892254,0.23123673646433895,0.14085612789166077,0.23123673646433895,0.14085612789166077,0.5506483938720257,0.3712385523127029,0.7950924250485909,0.6845822352605074,0.6221066079341719,0.7434282386404422,0.2074907477885829,0.2239259838386235,0.045298379818925025,0.08171709359148363,118.80591630235466,98.85577123786156,8.962646487948865,6.670623899151919,7.905576700290867,3.334092482210999,0.3065180561555547,0.4202232949474333,0.4934551218405276,0.3121408919130824,0.22371232585885953,0.4262241322933939,0.1759622931540188,0.19303901574170854,3264.9824880745155,3300.018308534196,51.015351376164304,51.56278607084681,6436.301163327418,6522.13662661806,100.56720567699091,101.90838479090719,2339.9587542389077,2296.680530352485,0.4345455266658151,0.3277905546140203,0.15848058952274185,0.29195956465049216,0.12932144581648675,0.204114886100608,0.1049967434516131,0.14646759437252857,2.4456020210177773,2.8865825681803603,0.0542687776275584,0.0715595969252332,0.23431818926809983,0.35058248047313656,11711.19588470069,11561.459518807467,3431.851853400552,3874.537457295828,3552.5899132166983,4392.292765251013,2219.6970818269447,2646.505023791941,639.2930582263518,422.3388637634211,0.3064267711076865,0.11321333639063355,1.655721707399627,2.214313517089902,0.29854909272645874,0.1485249688850312,1.9163268675360134,2.6249160498305844,0.15438830686909935,0.06747045641229796,1.8695071270875867,2.212107960144578,19.25206186086218,4.665443947212046,-2.987138391196496
2,23,9.401658969050274,9.530527684875512,0.11817399716550246,0.07610755592703707,0.1320230868385326,0.16698552227765268,0.250197084004035,0.24309307820468973,0.422659230061404,0.2774126984126984,0.0,0.0,0.4408349400856251,0.3017775979267412,0.6858740273110021,0.7155533141207634,0.11817399716550246,0.07610755592703707,0.250197084004035,0.24309307820468973,0.250197084004035,0.24309307820468973,0.422659230061404,0.2774126984126984,0.6800896554138699,0.5352619299049053,0.7906125512770563,0.8666647086734739,0.2456837846249611,0.21146151811828598,0.030545910094046738,0.03718100593073542,96.86559042289596,82.27962824552003,15.599277066911018,8.590590359954854,8.548046946571608,4.765644632436733,0.49994549793456045,0.558501829376053,0.030053311221789482,0.023532144184318097,0.6122845864690447,0.643627118615427,0.20418141124605715,0.19158964039992538,2846.625133247848,3177.8020377465045,44.47851770699763,49.65315683978913,5787.047745663817,5631.434483635304,90.42262102599715,87.99116380680162,2509.342682503862,2279.9237482171898,0.26483750178730997,0.21487136437040413,0.19556375373334448,0.2954772553070416,0.13650875925012754,0.16697719729129518,0.14227890272523996,0.19527068952666066,2.7191143043701045,3.0379773873528455,0.0528560290145921,0.05705896811839072,0.2787876619753675,0.3622478868179558,9184.487887565307,9718.046644252272,2343.233538806315,2741.0875577819393,3367.795160785954,3487.4470071487412,1586.171711965726,2154.202521508023,618.1884098491458,421.7920745836585,0.3052065478966727,0.13031230954615627,1.815841203753193,2.401567630867244,0.2568291087980852,0.13342047002727556,2.0661812810689484,2.6939716417609394,0.1195174939068777,0.06949611223761168,1.795985535780794,2.140947347799454,18.932186653925786,-4.160874492468664,-1.3774593606316619
3,18,9.39111878776376,9.19152267712445,0.07179455519788774,0.06834884195464977,0.09726344630013632,0.14518406018929964,0.16905800149802402,0.2135329021439494,0.32128293229730065,0.2773973421212823,0.0,0.0,0.4408718012515213,0.4050027914308751,0.7703887167032235,0.7613466447658793,0.07179455519788774,0.06834884195464977,0.16905800149802402,0.2135329021439494,0.16905800149802402,0.2135329021439494,0.32128293229730065,0.2773973421212823,0.5975005958099415,0.6108614017706021,0.6886208168166652,0.8098242088753695,0.24584809664419055,0.19424529356623144,0.02685116877443031,0.03175596361717803,86.1411009462368,86.29977053785665,14.17740629734414,9.297720315582941,8.35221239987559,5.665120938224031,0.488470973228293,0.5930415774669775,0.0049802798612322416,0.00872183029590437,0.6560288154147442,0.7024661664927403,0.16526502853017355,0.1802709093307028,3341.4591493520734,3297.0944442868736,52.21029920862615,51.5171006919824,6213.848059756692,6163.733288864266,97.09137593369832,96.30833263850415,2252.223817801928,2311.838621981207,0.3609162170991742,0.26214712322399936,0.15560860874732677,0.28612779584766057,0.09458677341986294,0.18385808013974791,0.13359790906824143,0.1934736950273093,2.4430733411199252,2.8686998524753555,0.03993852051696508,0.06552257007516873,0.2281846824881043,0.37733177516705724,10882.663753152967,10662.40821537758,2800.129501147583,2967.1660862793065,3924.2109396320757,3709.4788468541074,1878.0748244030224,2328.055150115708,756.7919930113745,525.9353267217139,0.3943872309394783,0.1944686477523051,1.6388212421120258,2.106698670871557,0.3164778917446821,0.20592991364832183,1.6293567281534012,2.2729227804537757,0.19518973346672616,0.12094948865920724,1.7997636783963995,2.1269710320508746,18.582641464888212,-1.1593867771375952,0.368960258251722
4,35,9.726808905744868,9.41612255633438,0.12962643992273218,0.136526849330158,0.10514679218496994,0.18707898653946575,0.2347732321077021,0.32360583586962377,0.48920070890308986,0.40247992047027353,0.0,0.0,0.5798872691052971,0.41669851504299826,0.7412625710977251,0.7084876032647449,0.12962643992273218,0.136526849330158,0.2347732321077021,0.32360583586962377,0.2347732321077021,0.32360583586962377,0.48920070890308986,0.40247992047027353,0.828390914837128,0.7156225815991815,0.6928339034929856,0.8527535201229295,0.2591844847982703,0.22339668916897418,0.027457286667709017,0.02024521240060155,112.84380930327623,101.277080837476,17.03692011714125,10.422913489106131,8.81864163086063,5.396452440336143,0.49924914638398343,0.6120758751211407,0.012184919252597265,0.0032976939425980577,0.7424922585185582,0.6897967995168974,0.16539773114508222,0.21257446147809633,3176.8873228800758,3423.0547662346894,49.638864420001184,53.48523072241702,6243.1817124462295,5967.844328621945,97.54971425697234,93.2475676347179,2354.3277613943333,2283.0757090248844,0.38035815670590345,0.24173314264125365,0.17426290017012785,0.25523036451961345,0.13844554946349039,0.18918020464915355,0.14752579482712697,0.23431129255670302,2.329821151896484,2.8175284662234787,0.06275770893461995,0.06889987655430473,0.2859713442906173,0.42349149720585655,11401.445436556367,10459.516535228917,2898.48355815542,2880.2885867859527,4036.8977828277975,3527.198048130508,2038.8378976483143,2346.1113704933064,633.534114454069,466.4264431305707,0.2972858823152498,0.15132570087761912,1.7555244660291338,2.2918837883035037,0.2573082268752212,0.14917346794485298,1.883115104847428,2.3199024395769983,0.1342000591999368,0.08890768848969154,1.8304085738153812,2.1747174434029963,19.142931462079243,-1.8397330407034007,2.6694388261433666
5,11,6.5476190476190474,7.309523809523809,0.13498569882498454,0.07678067783587264,0.0820314110492682,0.09753899149191357,0.2170171098742527,0.1743196693277862,0.40861033807462377,0.29080988455988455,0.0,0.0,0.5478561121418264,0.3242057050092764,0.6730480828695115,0.6422934704184704,0.13498569882498454,0.07678067783587264,0.2170171098742527,0.1743196693277862,0.2170171098742527,0.1743196693277862,0.40861033807462377,0.29080988455988455,0.7571422129457844,0.5162267386293361,0.6249149659863945,0.6233943095144393,0.2260326479076479,0.16387208120162666,0.017165275200989486,0.03139962941099305,109.76680710162852,75.68952471139971,13.75401141517213,7.173564436105021,6.054348974438261,4.096962025168194,0.38959234758747746,0.4162225875198564,0.0740735274826184,0.04429176973819831,0.47153454860435384,0.4834804445194055,0.17793094802023374,0.17880890303779914,2867.3473573279175,3137.6342081529583,44.80230245824871,49.025534502389974,5563.333582637601,5231.213411714548,86.92708722871251,81.73770955803981,1705.3848946786593,1886.2639009115417,0.3583217377860235,0.23509527089072543,0.09389100257606751,0.26196559891174104,0.09521683673469389,0.1576723285733026,0.0977420892599464,0.15092301727853677,2.1297541743970316,2.2699691722418995,0.05150649260202052,0.05743916746821299,0.1929589259946403,0.30859534585183934,9481.54739615543,9096.439363486441,2539.6975410997734,2749.063961624595,3354.055339749536,3309.870189077697,1629.5290346062668,2031.3570045890258,618.6570483558394,405.94757243587117,0.28549995967537545,0.13308812946738438,1.4709759443049022,1.767857096874765,0.272218029934447,0.1482747431332063,1.4128744812186371,1.8800577669084162,0.13877132667717082,0.09553341079315106,1.5558971189347526,1.7427691197251427,13.857142857142856,-3.0319849658360307,-5.589300505812834
6,32,9.742995545919332,10.063925046045298,0.12496167328884548,0.07681991110515371,0.07060232056794412,0.09282475476696797,0.1955639938567896,0.16964466587212165,0.507080669737353,0.3627089659173921,0.0,0.0,0.6000094808079947,0.460314501846021,0.7932992117513814,0.7906566878450544,0.12496167328884548,0.07681991110515371,0.1955639938567896,0.16964466587212165,0.1955639938567896,0.16964466587212165,0.507080669737353,0.3627089659173921,0.8360094794236789,0.6987422755725735,0.6302693216253334,0.7387435085051257,0.2647161404285646,0.21290224629979684,0.026042271183298417,0.022953037256638918,111.76076120409525,98.71813756952986,16.823951245778535,10.044748105282949,8.660121957775585,5.986626086867745,0.4646041547153654,0.5895094659806411,0.01063513849796214,0.005853388845708136,0.7001198457678621,0.7449366704980795,0.17886447517335893,0.17897585477468725,3061.9122716539277,3253.902100665361,47.84237924459262,50.84222032289627,6424.557487133915,6418.205362227688,100.38371073646742,100.28445878480763,2339.1276793281395,2365.803492936795,0.42893694303721047,0.3203885490522807,0.1948035103661396,0.3090152152415696,0.1639878548037984,0.20594021949470204,0.14065390568941702,0.17268470638586272,2.3405810421549376,2.7527930846831508,0.0743466137502508,0.07710108287713333,0.30464176049321545,0.3786249258805648,11627.30263481528,11914.701659621809,3205.963702522745,3400.8510548021327,3991.484709018889,3813.0872768651834,2053.872295887604,2727.717102801681,720.8324513673091,538.792792066106,0.36305688735335157,0.20194963219413564,1.6368536233893927,2.0746470261263097,0.30416898269188936,0.20853975537190134,1.8873667901543003,2.4634474361990017,0.14347294627115836,0.11907412400603434,1.833234957921553,2.1664111255640615,19.80692059196463,2.149943695386373,2.1991654727833443
