cluster,player_count,rounds_played_ct,rounds_played_t,awpy_rounds_ct,awpy_rounds_t,kills_ct,kills_t,deaths_ct,deaths_t,kpr_ct,kpr_t,dpr_ct,dpr_t,kdr_ct,kdr_t,survival_rate_ct,survival_rate_t,damage_ct,damage_t,awpy_damage_ct,awpy_damage_t,damage_taken_ct,damage_taken_t,damage_per_round_ct,damage_per_round_t,damage_taken_per_round_ct,damage_taken_per_round_t,damage_diff_per_round_ct,damage_diff_per_round_t,util_damage_ct,util_damage_t,util_damage_per_round_ct,util_damage_per_round_t,adr_ct,adr_t,kast_rounds_ct,kast_rounds_t,kast_ct,kast_t,impact_ct,impact_t,rating_ct,rating_t,assists_ct,assists_t,assists_per_round_ct,assists_per_round_t,flash_assists_ct,flash_assists_t,flash_assists_per_round_ct,flash_assists_per_round_t,trade_kills_ct,trade_kills_t,traded_deaths_ct,traded_deaths_t,trade_kill_rate_ct,trade_kill_rate_t,death_traded_rate_ct,death_traded_rate_t,trade_participation_ct,trade_participation_t,opening_kills_ct,opening_kills_t,opening_deaths_ct,opening_deaths_t,opening_kill_rate_ct,opening_kill_rate_t,opening_death_rate_ct,opening_death_rate_t,opening_duel_attempts_ct,opening_duel_attempts_t,opening_duel_success_ct,opening_duel_success_t,rounds_with_2k_ct,rounds_with_2k_t,rounds_with_3k_ct,rounds_with_3k_t,rounds_with_4k_ct,rounds_with_4k_t,rounds_with_5k_ct,rounds_with_5k_t,multi_kill_rounds_ct,multi_kill_rounds_t,multi_kill_rate_ct,multi_kill_rate_t,rifle_kills_ct,rifle_kills_t,awp_kills_ct,awp_kills_t,smg_kills_ct,smg_kills_t,pistol_kills_ct,pistol_kills_t,shotgun_kills_ct,shotgun_kills_t,scout_kills_ct,scout_kills_t,util_kills_ct,util_kills_t,rifle_kill_share_ct,rifle_kill_share_t,awp_kill_share_ct,awp_kill_share_t,grenades_thrown_ct,grenades_thrown_t,he_grenades_thrown_ct,he_grenades_thrown_t,flashbangs_thrown_ct,flashbangs_thrown_t,smokes_thrown_ct,smokes_thrown_t,fire_nades_thrown_ct,fire_nades_thrown_t,decoys_thrown_ct,decoys_thrown_t,grenades_per_round_ct,grenades_per_round_t,he_grenades_per_round_ct,he_grenades_per_round_t,flashbangs_per_round_ct,flashbangs_per_round_t,smokes_per_round_ct,smokes_per_round_t,fire_nades_per_round_ct,fire_nades_per_round_t,decoys_per_round_ct,decoys_per_round_t,rounds_played_total,pc1,pc2
0,22,59.09090909090909,56.95454545454545,59.09090909090909,56.95454545454545,34.22727272727273,34.36363636363637,42.86363636363637,44.0,0.573769209219923,0.5967465605134138,0.739604665045359,0.7711769169679986,0.791323557440458,0.7778870157358694,0.2603953349546409,0.2288230830320013,4814.636363636364,4956.318181818182,3941.681818181818,3879.5454545454545,5999.090909090909,6084.363636363636,81.28109562953549,85.79248436475247,103.04524203998953,106.73911225019684,-21.764146410454046,-20.946627885444375,260.59090909090907,212.72727272727272,4.377296827572764,3.7332847358928465,66.46289257403463,67.2975733964398,41.31818181818182,38.5,68.8984147419897,67.43120707985892,0.9117678289375918,0.9641938836414504,0.8858980019765749,0.8958140756884809,12.181818181818182,12.363636363636363,0.2100777665736394,0.21516739536212864,1.6818181818181819,2.0454545454545454,0.029076935183725484,0.039001951143848704,8.818181818181818,11.681818181818182,9.636363636363637,10.909090909090908,0.2746849296615856,0.34886973108535435,0.2256697495589368,0.2527446092630408,0.31799702468076807,0.39961623669106244,5.590909090909091,4.636363636363637,6.181818181818182,7.909090909090909,0.16828282100112193,0.126426754659373,0.13963917103209292,0.17353700786594076,11.772727272727273,12.545454545454545,0.478150869598238,0.37769250951069133,7.636363636363637,8.045454545454545,1.4090909090909092,2.090909090909091,0.045454545454545456,0.2727272727272727,0.0,0.045454545454545456,7.636363636363637,8.045454545454545,0.1299656926763587,0.13964879257269988,22.59090909090909,26.454545454545453,0.8636363636363636,0.7727272727272727,3.1363636363636362,1.0909090909090908,6.7272727272727275,5.5,0.045454545454545456,0.0,0.0,0.0,0.36363636363636365,0.13636363636363635,0.6422159390758354,0.763076332988036,0.028590652768284344,0.024669082953540426,118.4090909090909,110.77272727272727,26.227272727272727,14.772727272727273,28.0,34.13636363636363,35.40909090909091,34.04545454545455,28.727272727272727,27.454545454545453,0.045454545454545456,0.36363636363636365,1.9631656686413228,1.989645922752203,0.43853111304761117,0.2650657610712195,0.4554772745778074,0.6274336253582022,0.5988584695128216,0.5977447666530422,0.46954123574550694,0.49097388527883457,0.0007575757575757545,0.00842788439090441,116.04545454545455,-5.573804832331455,-1.3728035887222787
1,6,129.16666666666666,127.33333333333333,129.16666666666666,127.33333333333333,78.16666666666667,72.0,72.33333333333333,89.0,0.5968032479229441,0.5662915252105746,0.5619070942735165,0.7011741741189468,1.0630344258915687,0.809112901931487,0.4380929057264835,0.29882582588105316,11007.333333333334,10200.333333333334,8981.666666666666,8075.5,10249.166666666666,12906.0,83.91871385494683,80.24167596418415,79.612861585357,101.1651832249644,4.3058522695898285,-20.923507260780244,976.3333333333334,605.8333333333334,7.201537470614866,4.70712473074553,68.34808148763426,63.70735653346128,100.66666666666667,89.33333333333333,77.38538814560292,69.60660959873705,0.9501394615148543,0.9012835430896429,1.0592622578810562,0.911788807982881,31.5,31.0,0.23798335719826025,0.24587409095391213,3.3333333333333335,8.5,0.026975874173359737,0.0723027092502003,14.5,20.166666666666668,19.666666666666668,22.333333333333332,0.19409793776473713,0.27780652104904807,0.27136483886483886,0.24523639967963004,0.26682456660193693,0.3285235138676687,10.666666666666666,6.0,7.333333333333333,12.333333333333334,0.13866771828537608,0.08196192239281064,0.1012822098536384,0.1360233950827251,18.0,18.333333333333332,0.6296470342522974,0.3341327352196917,16.166666666666668,16.333333333333332,4.666666666666667,3.5,0.3333333333333333,0.5,0.0,0.0,16.166666666666668,16.333333333333332,0.12291542695222628,0.12981825399136396,51.833333333333336,49.5,0.8333333333333334,1.0,9.333333333333334,4.833333333333333,13.5,14.333333333333334,0.0,0.0,0.5,0.5,1.6666666666666667,1.0,0.6627549771054951,0.6857069743438199,0.009788085073650999,0.014826480376618151,333.3333333333333,404.0,68.33333333333333,24.833333333333332,79.0,144.66666666666666,103.16666666666667,146.66666666666666,82.66666666666667,87.33333333333333,0.16666666666666666,0.5,2.6034503025106743,3.1847517019217837,0.5115486327933945,0.19177163707605724,0.6337696424358289,1.1574287338828482,0.8257847383927791,1.1433092572750416,0.6309583999997829,0.6882834173570874,0.0013888888888888833,0.00395865633074935,256.5,5.106519427098404,-2.397872782853041
2,10,94.6,101.4,94.6,101.4,68.6,63.8,57.6,73.1,0.7291294944935973,0.6379071899337989,0.6119735348188142,0.7203669378012691,1.1929658626331592,0.8916783536323972,0.3880264651811857,0.2796330621987308,9593.1,8916.5,7428.0,7012.3,8377.8,10516.0,101.3915834358796,88.99280649259936,88.77191983830004,104.07828934726899,12.619663597579557,-15.08548285466965,476.4,385.0,5.0223791015460755,3.9524821513970565,79.29052262155551,70.07541794685787,73.5,68.7,77.57427728886354,67.40804302524754,1.24447245456802,1.0366363941326202,1.2005728659535477,0.9546785342951019,23.6,20.8,0.24957675164824344,0.20594493953496343,2.3,2.5,0.02327699237845392,0.02291578249483011,13.6,18.0,15.2,19.5,0.1981313817233444,0.28838277850448363,0.26852281002326805,0.2606812615179956,0.3096133161147555,0.36930422110478933,10.0,8.5,7.8,12.5,0.14536895567124372,0.13543196020383672,0.13762865161776672,0.17130203547977527,17.8,21.0,0.5565730067034415,0.4207782898105479,16.3,15.2,4.1,4.3,1.2,1.0,0.2,0.0,16.3,15.2,0.17367993630099626,0.15447823387241916,46.8,43.1,5.8,3.7,2.7,3.4,12.0,11.6,0.0,0.0,0.1,0.1,0.8,1.3,0.6934825089306234,0.6729277586003791,0.07065707356730604,0.057108804122947644,189.1,190.7,47.7,22.5,41.7,63.7,53.6,55.8,46.1,48.7,0.0,0.0,2.017112394753201,1.882539479744794,0.5099220236101095,0.2250770939929207,0.4435561791251243,0.6233362099067894,0.5700847808105872,0.5483009066388492,0.4935494112073798,0.4858252692062349,0.0,0.0,196.0,1.5822929795646443,-0.3558369269532566
3,14,62.92857142857143,62.285714285714285,62.92857142857143,62.285714285714285,47.214285714285715,28.142857142857142,40.357142857142854,46.285714285714285,0.74596553351936,0.45275517063496507,0.6499359443617564,0.7517347383283237,1.1628845512264832,0.6094809737004475,0.35006405563824355,0.2482652616716762,6376.857142857143,4253.071428571428,4989.285714285715,3416.6428571428573,5787.785714285715,6538.928571428572,100.76244832679686,68.71143417778431,92.53682641388544,105.34353641865171,8.225621912911427,-36.63210224086739,353.14285714285717,273.7142857142857,5.840645093023494,4.522132934660838,78.99832120298059,55.31069361107575,48.07142857142857,40.214285714285715,75.42707685837192,64.44791756682483,1.2692164125362972,0.6555956292973385,1.1737975814130357,0.7166451924519223,13.142857142857142,11.428571428571429,0.20634525286885297,0.1842904193367852,1.8571428571428572,1.0,0.029779197096684334,0.017797558957699206,9.071428571428571,8.785714285714286,8.785714285714286,12.5,0.18709393205285257,0.2974854498473328,0.21941767502909815,0.267722781794067,0.2821033591550245,0.34080021386733483,6.571428571428571,4.214285714285714,5.071428571428571,8.285714285714286,0.14178372810439446,0.16206019229883234,0.1272825169154798,0.1796345140319085,11.642857142857142,12.5,0.5633674448800499,0.33920017180886747,11.642857142857142,6.0,3.142857142857143,1.0714285714285714,0.42857142857142855,0.35714285714285715,0.0,0.0,11.642857142857142,6.0,0.18355865173497563,0.09623422764244297,33.142857142857146,20.428571428571427,2.0,0.42857142857142855,2.4285714285714284,1.2857142857142858,8.285714285714286,5.214285714285714,0.0,0.0,0.07142857142857142,0.0,0.42857142857142855,0.5,0.688034632047211,0.715579197750659,0.04711052300338013,0.018173452956061646,144.42857142857142,126.92857142857143,35.642857142857146,16.571428571428573,32.357142857142854,37.285714285714285,39.785714285714285,39.285714285714285,36.42857142857143,33.57142857142857,0.21428571428571427,0.21428571428571427,2.3394385588761004,2.086250686972364,0.567693417649283,0.2690094154318204,0.5399841754546271,0.6235305254065959,0.6422888509624055,0.6443800036687543,0.585314896366852,0.5459501739368419,0.004157218442932722,0.0033805685283517716,125.21428571428571,-4.374111407673212,-1.020406803997091
4,14,131.92857142857142,132.14285714285714,131.92857142857142,132.14285714285714,99.64285714285714,92.28571428571429,78.57142857142857,93.14285714285714,0.7578574991655886,0.7027902820617229,0.5941522153979124,0.7047669749826342,1.287283749976097,1.0010831809880756,0.4058477846020875,0.29523302501736587,13475.357142857143,12732.42857142857,10797.714285714286,9917.357142857143,11380.57142857143,13270.214285714286,102.59320410775875,97.12819622725517,86.2905981640276,100.53955614295806,16.30260594373116,-3.4113599157028913,758.4285714285714,515.6428571428571,6.12762161819821,3.8952186729478613,82.15078971635556,75.45319983559251,105.35714285714286,96.0,80.04393698670808,72.66134949785683,1.3135014440522184,1.177952974082181,1.2578905088463124,1.0747603085395345,34.785714285714285,27.357142857142858,0.26751371477059943,0.2085575104552939,4.5,3.5714285714285716,0.034932699734765094,0.027621146524430543,18.5,25.142857142857142,20.142857142857142,26.785714285714285,0.18815552588709974,0.27340313544087297,0.25449385309602246,0.2842846746995128,0.29317881511298033,0.3914785246838046,17.857142857142858,12.857142857142858,10.5,16.928571428571427,0.17531520407458326,0.13704748864482866,0.1378460049927693,0.1802447495224341,28.357142857142858,29.785714285714285,0.6217882056732231,0.42784882688731435,24.928571428571427,23.0,7.214285714285714,6.428571428571429,1.1428571428571428,1.2857142857142858,0.07142857142857142,0.0,24.928571428571427,23.0,0.19040100509549732,0.17525006300478072,76.0,70.21428571428571,1.3571428571428572,0.42857142857142855,6.071428571428571,4.071428571428571,14.5,15.214285714285714,0.0,0.0,0.07142857142857142,0.0,0.7857142857142857,1.0,0.7626705486922883,0.7566447333479732,0.012236393602397021,0.0045518156025402285,305.42857142857144,260.2857142857143,72.5,37.5,71.64285714285714,81.71428571428571,88.14285714285714,70.5,72.78571428571429,69.92857142857143,0.35714285714285715,0.6428571428571429,2.332211521744654,1.9753826127893996,0.5620507074680913,0.2813918602311302,0.5456683806726835,0.6203645369830398,0.6696481969932917,0.5409059197121616,0.5521674120964138,0.5276634657222424,0.0026768245141739,0.005056830140825493,264.07142857142856,7.928699926951209,-1.8977450347437792
5,5,130.8,135.4,130.8,135.4,113.8,100.6,69.6,86.0,0.86655364381268,0.740475108524226,0.5346024624639083,0.6359488424395915,1.6291043690608127,1.1662621133559807,0.46539753753609175,0.3640511575604085,16420.4,14881.4,10967.8,10423.4,10301.6,12189.2,126.40030919548992,109.26694401119077,78.91661808740123,90.10567583372261,47.4836911080887,19.161268177468152,578.0,377.4,4.38347310320202,2.7401005075602463,84.54589750945173,76.48437584939639,103.0,105.8,78.82601334408562,77.78985010093945,1.478213751609836,1.2469100289535815,1.3570580324464694,1.1762034305736757,21.6,29.8,0.17437707874454858,0.220008751196685,4.6,9.6,0.03836304257991,0.07296739988141257,19.8,28.0,15.2,24.2,0.17130644070493695,0.27835157199930516,0.21819610709536433,0.2807760891590679,0.26337623220153333,0.38405294037111465,22.2,15.8,10.2,9.0,0.192823293059914,0.15420487136432942,0.14608963727004823,0.10173597949818221,32.4,24.8,0.6722770828761612,0.63664512944766,31.2,25.0,7.6,5.8,2.2,0.6,0.0,0.2,31.2,25.0,0.23567657242356038,0.18469071102362053,23.0,45.2,63.6,34.2,3.6,1.2,18.8,16.4,0.0,0.0,1.8,1.2,1.6,1.0,0.2080566086083556,0.43143106942273174,0.5579131418649331,0.3500101132920309,249.8,314.6,52.4,17.2,70.8,138.4,70.4,100.2,56.0,57.8,0.2,1.0,1.9162716132595647,2.3695021784154173,0.3939230949773118,0.12412995689113664,0.5503344547019247,1.052618869002965,0.5418582254425628,0.7504248900229158,0.4279580359399636,0.43417498202301774,0.00219780219780218,0.008153480475381999,266.2,9.219513995592525,7.794740113845334
6,1,176.0,155.0,176.0,155.0,148.0,76.0,108.0,113.0,0.8409090909090909,0.4903225806451612,0.6136363636363636,0.7290322580645161,1.3703703703703705,0.672566371681416,0.3863636363636363,0.2709677419354839,20113.0,11523.0,15920.0,9228.0,16122.0,14927.0,114.2784090909091,74.34193548387097,91.60227272727272,96.3032258064516,22.676136363636363,-21.961290322580645,2675.0,948.0,15.198863636363637,6.116129032258065,90.45454545454544,59.53548387096775,145.0,100.0,82.38636363636364,64.51612903225806,1.5310227272727273,0.7536129032258063,1.3501688181818183,0.7818021419354838,64.0,44.0,0.3636363636363636,0.2838709677419355,13.0,13.0,0.0738636363636363,0.0838709677419354,28.0,21.0,32.0,24.0,0.1891891891891892,0.2763157894736842,0.2962962962962963,0.2123893805309734,0.3409090909090909,0.2903225806451613,21.0,14.0,7.0,25.0,0.1418918918918918,0.1842105263157894,0.0648148148148148,0.2212389380530973,28.0,39.0,0.75,0.358974358974359,44.0,15.0,10.0,3.0,1.0,1.0,0.0,0.0,44.0,15.0,0.25,0.0967741935483871,117.0,60.0,1.0,0.0,5.0,1.0,16.0,12.0,4.0,0.0,0.0,0.0,3.0,1.0,0.7905405405405406,0.7894736842105263,0.0067567567567567,0.0,463.0,397.0,145.0,39.0,116.0,181.0,102.0,103.0,100.0,72.0,0.0,2.0,2.6306818181818183,2.5612903225806454,0.8238636363636364,0.2516129032258064,0.6590909090909091,1.167741935483871,0.5795454545454546,0.6645161290322581,0.5681818181818182,0.4645161290322581,0.0,0.0129032258064516,331.0,13.180060948176708,-3.9378112816495645
7,8,68.375,67.125,68.375,67.125,47.125,36.0,40.5,45.25,0.7123072756075178,0.5298909442541216,0.616155117342748,0.6741144842535953,1.1746159163770615,0.7877940567892661,0.38384488265725203,0.3258855157464046,7280.0,5277.875,5012.125,3776.5,5912.625,6591.0,109.06232441547728,77.72668031776614,88.70723439262062,98.37241345478543,20.35509002285666,-20.645733137019292,286.75,111.625,3.637510112432718,1.58166769614878,74.66516255027592,55.271830385838875,51.375,45.125,75.65523455433599,67.01375324825456,1.184859211045177,0.8036958219896271,1.1517955684407295,0.8489586135543813,12.25,13.25,0.17857137418823535,0.18888968162834174,2.375,6.375,0.03700175587043799,0.09362461952248512,7.75,9.125,7.5,9.0,0.1620884884322734,0.2596086105178172,0.1908957859274494,0.19145647387113435,0.23389253413950367,0.26455010373510696,9.625,4.0,6.25,5.625,0.20289886684063613,0.10716899860807375,0.15700443701808403,0.14374027986177018,15.875,9.625,0.5929242432759056,0.43845841658341655,11.625,7.5,2.625,1.875,0.0,0.25,0.0,0.0,11.625,7.5,0.17650552811281184,0.11029664154728089,8.0,12.5,27.25,15.875,1.25,0.375,7.875,6.125,0.25,0.0,1.625,0.875,0.375,0.125,0.1847510554397452,0.3639499165279907,0.5638460469507501,0.4355095759467742,109.625,150.125,21.875,3.75,33.125,70.125,32.25,50.0,22.375,26.125,0.0,0.125,1.5849404755421999,2.2127580111371703,0.3025990721639794,0.05877383824526921,0.4970964633489804,1.0304574957361405,0.4658237511027343,0.7384394170161669,0.31942118892650556,0.38344252329748857,0.0,0.0016447368421052624,135.5,-4.110026280372017,6.7456901716669995
