cluster,rounds_played_CT,rounds_played_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_survival_ticks_CT,avg_survival_ticks_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,rounds_played_total,pc1,pc2
0,7.9117691237402274,8.11576589522926,0.11277990068528786,0.06545081170493855,0.19516059158883914,0.18429253813447363,0.19516059158883914,0.18429253813447363,0.4081340716628077,0.24634923096180406,0.6638741086514924,0.5476623510954493,0.6052015160019117,0.7037258574926972,0.2485555678339191,0.18848853408772312,0.02309950420989866,0.02911329418271908,94.63781210182349,79.34678852242921,14.289898718946871,8.357752104177797,7.6708614175465035,5.4726711361731235,0.4282821746819438,0.46530902077467357,0.010622979049048306,0.008804862504215052,0.5896019031551956,0.5953004060616367,0.16229141843125183,0.16434427205169047,2956.822061679819,3109.854197767045,5677.396672096492,5583.1897248781825,1909.1455488562688,2024.8733693103527,0.3601773627923506,0.24310899509627446,0.11901524912231826,0.2484366203417927,0.09020595213949123,0.16169781825515692,0.11145005830561353,0.17722007225688163,2.0838130506267167,2.534322830296608,0.04245430175033835,0.06070497192340671,9882.865308075201,9834.996934313878,2571.3603654287203,2771.201195468148,3551.505458619539,3360.632361510398,1668.2198739208955,2263.986605078132,670.3115790729686,479.5908290679884,0.33301191688434434,0.16644050337880276,16.027535018969488,-2.1966717727063743,-0.49995900568748053
1,7.861799719887955,8.207457983193276,0.12900434163564417,0.07895143663526016,0.22282876787078468,0.1692223593983048,0.22282876787078468,0.1692223593983048,0.45071195144724563,0.3707422969187675,0.8058897548918559,0.5262950028496247,0.6348367111996314,0.6985270433931148,0.16594871029219768,0.17384964591897364,0.03599128540305011,0.05897464667685256,114.75186084155885,78.96880186544315,9.024268305807173,5.881007001285363,5.09559781614666,2.3630696028411364,0.317132455643485,0.37196409653605034,0.3478047667202079,0.2235246837662804,0.2708531780039133,0.3728420588320798,0.18457035203358735,0.17451220494025116,3194.6495943693135,3103.8395115129388,5730.563564826183,5622.374704647011,1981.0710968946441,2034.072074458091,0.3563531523720599,0.24884431424084785,0.13297685294008824,0.21185744839894,0.1244532560498947,0.12719480216328954,0.08479748465042583,0.1218460338680927,2.3953598560636378,2.6811603315568653,0.05599793738968789,0.042598568324255806,9352.217525860091,8970.488361124753,2664.6440397800534,3026.17732494513,2977.111995310751,3666.313530074909,1728.822295367642,1930.7304474744444,564.4561164280589,382.5105507705447,0.2617108650317596,0.10028392426589176,16.06925770308123,-2.390250309605006,-5.22322602100018
2,8.916666666666666,8.604166666666666,0.11648027898027898,0.05807178932178932,0.24006884319384317,0.2411976911976912,0.24006884319384317,0.2411976911976912,0.39444444444444443,0.23968253968253964,0.6122955747955748,0.49106240981240984,0.956107202982203,0.884505772005772,0.2894315175565176,0.1620400432900433,0.049189814814814804,0.05645743145743145,93.73296356421356,74.92592893217893,17.081424362674362,7.849621212121213,11.120439514189513,3.253048340548341,0.48010213166463167,0.5423122016872016,0.05538258038258038,0.07456501831501831,0.414391915954416,0.6209957866207866,0.2513895248270248,0.15248813686313686,3843.694588744589,3301.2258578805454,5915.029491341992,5328.618993506494,3647.4203538682245,1996.9195854447462,0.14592803030303028,0.22454906204906208,0.1923999033374033,0.2751500814000814,0.13330026455026453,0.1406024531024531,0.12621151996151994,0.13504689754689755,3.3300730519480517,3.0372564935064936,0.040782574350728754,0.0501920327171459,6912.675536616162,8825.634577922077,1730.8124534030785,2628.6483405483405,2894.592729377104,3391.4869047619045,1045.8595403439153,1876.5857142857142,698.8297430037528,460.52650390805724,0.3462073949817756,0.1629221991821084,17.520833333333332,-5.635646045786302,0.05656339943059274
3,9.80399007123145,9.854971554290973,0.1176473731548204,0.09598069448328989,0.21247964178909504,0.23948436804473622,0.21247964178909504,0.23948436804473622,0.45484801677131637,0.3601696870892705,0.7576048546884335,0.6499560041721175,0.6672969936754759,0.7909485437599449,0.2579807387227406,0.22476304215342818,0.03170524698431121,0.03404743931608799,104.55458726683116,93.4821464763501,16.3309989051126,9.510008629573653,9.428724641931327,5.565430316927896,0.49406117939187144,0.598106379096821,0.013998641324383842,0.004806040946013722,0.6948206712193555,0.7075093290997623,0.17560870295834785,0.20316534148355164,2867.5463348348626,3136.458318754166,6239.444668484161,6113.559400438337,2323.2468115968245,2351.622204909451,0.38620753512639727,0.2744518221193572,0.18721054855851343,0.2761852943986784,0.13635524317598982,0.17745407154374446,0.14107937040651733,0.1879399802792105,2.3951426314246276,2.8265041862459483,0.060445072206691985,0.06531517088324344,11211.139805271896,11020.257641117452,2950.898153081505,3077.2553791538908,3878.1028293206264,3828.9616421900505,1991.0901512735475,2458.861732381727,672.9678739728809,490.2528893534856,0.33047745425172703,0.16811537924009598,19.658961625522426,0.5932699862033136,1.8400031427938321
4,9.761521015186428,9.745102784294513,0.15034303138266172,0.08181447270076482,0.2311980555645349,0.1479366293980186,0.2311980555645349,0.1479366293980186,0.56721019692041,0.40354910023143103,0.7945187785615999,0.6781264224923819,0.5978738715489655,0.7163329310007784,0.20803546919111268,0.22061508963305437,0.048246209555136,0.08476793641230101,118.79909234363612,98.8265845219906,8.993880828354033,6.552640561028684,7.808435041395218,3.666624643841866,0.2924724120788286,0.4197710735373134,0.49607879372123326,0.3304098941245877,0.2114715016589408,0.41650093710108604,0.17626143079820333,0.19043273229332838,3163.6292700273925,3068.26866511199,6487.309418357141,6569.717359680783,2396.612214338124,2345.6476589678236,0.4464851179694244,0.34158950692752166,0.14484811988286303,0.28610936346306126,0.12392667995825347,0.1919336364753354,0.10295201793536582,0.15427982251216174,2.399975468414849,2.8414627623688555,0.05306986291302952,0.06888357333227342,11989.170473559818,11680.52303926398,3575.752938890093,3866.5075646928826,3575.1047022014286,4404.72964921182,2316.953086638207,2670.8619482041886,643.5574987030411,427.9386522447524,0.3080485808225592,0.11389673880309979,19.506623799480945,3.1148584968643656,-4.508976212194438
