cluster,rounds_played_CT,rounds_played_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_survival_ticks_CT,avg_survival_ticks_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,rounds_played_total,pc1,pc2
0,9.491726117943008,9.594632282794477,0.1449340480597985,0.08331252883846846,0.22958239345706882,0.14978112304310923,0.22958239345706882,0.14978112304310923,0.5395753203630024,0.40781928669312567,0.8009017575654708,0.6632397758687154,0.5937976984803345,0.711162614535226,0.20539233581653532,0.211710127499777,0.04571090243701734,0.07958421276675777,119.68952799871407,96.9845039469323,8.688359564121637,6.357466215250816,7.351470787147719,3.439025581984916,0.2975879147164348,0.42081112254021796,0.4822949985781705,0.3224112820103387,0.20924344835709927,0.4035220626194085,0.17595130851721874,0.19031990139315993,3228.34090238031,3138.1863772331485,6338.5300062915885,6475.1979795247835,2331.446845067879,2325.7966933421635,0.43747930456669387,0.3348409393942226,0.14520492114425296,0.26661900177520803,0.124065578422224,0.17765125811646373,0.09733417698898134,0.1479501908890691,2.3680668747989047,2.8088291274353603,0.05623708014908029,0.06347338190198937,11360.429732325983,11384.922654882328,3352.089224405072,3813.900400878909,3428.000795448714,4330.0313519600095,2184.913384599625,2599.479755329136,632.1353548140665,425.4825165312211,0.29954178383764024,0.1114191560829891,19.086358400737485,2.4019195694371396,-4.719867047250186
1,9.466184580144848,9.652469158044493,0.10625363885102224,0.0731839898224046,0.1865521469076542,0.17860015650088987,0.1865521469076542,0.17860015650088987,0.43114737451726737,0.3339770468152637,0.7314645865155394,0.6565498798819976,0.6085488103556796,0.7225080891519896,0.2543453162864809,0.2116373344986296,0.029680644509110732,0.028906569792146824,100.96396630715773,92.69668487363016,15.733328535239687,9.452785115681175,8.790861684277598,5.84465294674126,0.4679639251117136,0.555490042660053,0.009534891669589525,0.006018686154651068,0.6743318240600391,0.7031657672510699,0.1699456641982712,0.18023085950600223,2978.299149724526,3186.902284911694,6283.211134625007,6300.971123873179,2249.2579115057692,2300.4969882520354,0.4181499775143767,0.31308964471453543,0.17165720218893785,0.2973188262786108,0.12862666757661848,0.19251555451025976,0.12954861576886736,0.16384302570655404,2.2621832672586195,2.690847361388468,0.05876145807606383,0.07244452113431239,11485.932314501611,11755.690240105156,3093.6358213083095,3335.7272602467215,3974.8442901867443,3880.2367626576283,2008.716576694235,2665.487895412567,734.3954914127052,531.0962983271395,0.37070666474736536,0.19096601481525413,19.11865373818934,1.618584084247256,1.4212813631618626
2,9.68360037110037,9.857590195090195,0.08676747153800247,0.098874759377465,0.19193056084466512,0.26349509882292543,0.19193056084466512,0.26349509882292543,0.3657212234712235,0.343023776577348,0.646359159708138,0.577059134497669,0.73457552871046,0.850350352292627,0.25389349399146954,0.23268340910871788,0.034677311206150016,0.04571048158486088,92.45143463233894,85.54131033237219,15.275466837330617,8.935079481685175,9.316548491226202,5.317435817433096,0.4810638436123755,0.6094603813520424,0.017024455328026756,0.007304394179394179,0.6350331460383166,0.6668864668200993,0.19582473531057376,0.22113239555156095,2917.5363634778755,3083.7673419633065,6092.8830681295285,5847.729308896023,2379.799531075413,2350.8578907428764,0.318213189512989,0.22524417055016113,0.2183202254580083,0.2835624924402215,0.1401083793637747,0.16627238339319764,0.13341337200475856,0.20305530946323855,2.5846438635707636,2.944230258679663,0.05643786187749428,0.05963139900810138,10362.174865603107,10030.478704131136,2641.9310486615673,2855.262206621456,3693.349879751756,3621.886270630582,1849.803951918765,2243.7907874127827,653.1296541920656,449.22949831184206,0.3206359359420689,0.1444620242641354,19.54119056619057,-1.4855498300455272,1.7578920738627963
3,9.22644609002968,9.018041835472177,0.16792658279579836,0.10239751135612642,0.26534372055756816,0.2603535837143073,0.26534372055756816,0.2603535837143073,0.555709157224416,0.3344433840630951,0.8471290294100512,0.6781304798996278,0.632322256084325,0.7671602045712677,0.27386189539413336,0.21194619247192525,0.03076919353290093,0.031029541797672016,115.07327959693217,96.30942056191844,17.131510401438906,9.580703761880168,10.044902122783371,5.120225645882965,0.5019651148815419,0.5680225375591758,0.014196199581197,0.00458633089272187,0.7027181588277733,0.698931174453271,0.15514417709338604,0.1904727197108543,2807.0255221332,3074.401296985327,5914.994261350936,5873.939926184968,2248.624799528795,2183.6578331477313,0.3923397399915777,0.27106440558658434,0.13845704042413187,0.21992238504614445,0.11726907542867855,0.15860818565794646,0.14985080003893833,0.1965224892451469,2.1598298766820934,2.6881549888374057,0.05603834511842812,0.05984877556233471,10619.17810879057,10687.616595755342,2742.7414405059126,2904.288970704519,3687.8810595592445,3823.8899083951173,1850.4632187534178,2335.183089431292,623.3419057541566,491.91700173853263,0.29378881015557406,0.16716927774847606,18.244487925501858,-0.11255008310468002,1.0859342108539936
4,7.194444444444444,7.180555555555556,0.12364004629629631,0.05837767556517556,0.21863425925925925,0.2013411646224146,0.21863425925925925,0.2013411646224146,0.4336226851851852,0.23674768518518519,0.6986979166666667,0.38630952380952377,0.7891203703703704,0.7463661916786917,0.19325810185185185,0.1483086069023569,0.022858796296296294,0.0320883688071188,100.68917824074073,62.13903131012506,13.875318287037038,6.791444579725829,5.744184027777778,3.823974491943242,0.399102778009028,0.36980356641814977,0.10215617715617716,0.07444196428571428,0.4526798529402696,0.47058732162898825,0.2014396194083694,0.13555933842392176,3117.277310681217,3137.0219777136444,5698.282841435185,4818.923977873978,2168.0412125877415,1836.0999792147547,0.24728009259259257,0.15455522486772486,0.09583678281594948,0.23717808040724708,0.09210069444444445,0.13170056216931217,0.09673032407407407,0.13566881613756612,2.734259259259259,2.710896164021164,0.03267594582900311,0.04329476964414785,8616.913715277778,7008.485374579125,2376.9402488425926,1993.1303428631552,3065.5897280092595,2760.0104921987736,1428.7187210648146,1541.2390185335498,584.7798911995909,367.46392717701224,0.2883009567906704,0.12751453554818787,14.375,-6.612188830092031,-2.845107010422673
