player_name,rounds_played_CT,rounds_played_T,opening_kills_per_round_CT,opening_kills_per_round_T,opening_attempts_per_round_CT,opening_attempts_per_round_T,opening_duels_per_round_CT,opening_duels_per_round_T,opening_success_rate_CT,opening_success_rate_T,kills_per_round_CT,kills_per_round_T,deaths_per_round_CT,deaths_per_round_T,assists_per_round_CT,assists_per_round_T,flash_assists_per_round_CT,flash_assists_per_round_T,hp_damage_per_round_CT,hp_damage_per_round_T,armor_damage_per_round_CT,armor_damage_per_round_T,utility_damage_per_round_CT,utility_damage_per_round_T,headshot_rate_CT,headshot_rate_T,awp_kill_share_CT,awp_kill_share_T,rifle_kill_share_CT,rifle_kill_share_T,pistol_kill_share_CT,pistol_kill_share_T,avg_time_to_first_engagement_ticks_CT,avg_time_to_first_engagement_ticks_T,avg_survival_ticks_CT,avg_survival_ticks_T,std_survival_ticks_CT,std_survival_ticks_T,survival_rate_CT,survival_rate_T,trade_kill_rate_CT,trade_kill_rate_T,trade_kills_per_round_CT,trade_kills_per_round_T,traded_deaths_per_round_CT,traded_deaths_per_round_T,trade_attempts_per_round_CT,trade_attempts_per_round_T,trade_success_rate_CT,trade_success_rate_T,grenades_per_round_CT,grenades_per_round_T,flashbangs_per_round_CT,flashbangs_per_round_T,smokes_per_round_CT,smokes_per_round_T,fire_nades_per_round_CT,fire_nades_per_round_T,avg_distance_from_team_CT,avg_distance_from_team_T,isolation_rate_CT,isolation_rate_T,rounds_played_total,pc1,pc2,cluster
910,9.4,9.4,0.14332685832685835,0.1546092796092796,0.22246827246827247,0.1903202353202353,0.22246827246827247,0.1903202353202353,0.5744444444444444,0.692063492063492,0.796056721056721,0.8511077811077812,0.6154403004403004,0.6558746808746808,0.18299404299404298,0.1998090798090798,0.031144781144781142,0.05444444444444444,120.0418363118363,120.33629148629149,8.39138824138824,7.7004795204795204,3.0831403781403783,2.9486868686868686,0.36440485440485443,0.43423280423280425,0.4812261812261812,0.3742857142857143,0.30906981906981906,0.43444444444444447,0.1374040774040774,0.18650793650793648,2191.5062962962966,2328.8149877899878,5959.748313908314,6888.067746142746,2261.603511026719,2311.8409489500814,0.4504118104118104,0.4071090021090021,0.09148222148222149,0.155978835978836,0.0778826728826729,0.142983682983683,0.029393939393939396,0.12646464646464647,2.4161072261072265,2.6746270396270395,0.03062557277774669,0.060022130081914433,11578.46372960373,12843.616285936287,3339.816355866356,4186.707103452103,3649.6923076923076,5002.425096015096,2302.375876715877,3068.5965884115885,686.4724220296574,478.63494678981897,0.34103848568263834,0.13344582815560477,18.8,4.148314103543301,-4.235264399456738,0
Aleksib,7.588235294117647,8.235294117647058,0.08169934640522876,0.03067226890756302,0.1234827264239029,0.10952380952380952,0.1234827264239029,0.10952380952380952,0.40196078431372545,0.1323529411764706,0.49763177998472113,0.5438375350140056,0.5197860962566845,0.6645658263305322,0.30656990068754775,0.24649859943977592,0.054367201426024955,0.04551820728291316,74.30233002291826,77.72464985994397,14.466615737203973,10.386554621848738,14.463721246074186,12.832072829131654,0.4215219421101774,0.40826330532212884,0.0,0.0,0.4142623716153128,0.74796918767507,0.20772642390289447,0.11967787114845937,2839.239896867838,2971.7320558526444,5803.54371445548,6000.544537815126,1967.7237295971127,2128.7477494054333,0.3998938969527205,0.30952380952380953,0.20887021475256767,0.30805322128851537,0.11211696799932093,0.1746498599439776,0.13341397164926574,0.17352941176470588,2.0554197436550377,2.4668067226890753,0.049626666754781903,0.06767542951842556,11870.485472370769,13204.080672268909,3474.6008191155247,3154.2082633053224,3948.7883668618965,5024.322549019608,1738.5386724386724,2557.043277310924,714.7422775818819,460.28832633949105,0.34931049858192253,0.119677574540981,15.823529411764705,0.7245136234957325,0.2523442646418066,1
BELCHONOKK,11.285714285714286,11.928571428571429,0.08610793967936825,0.07938172938172938,0.19790606219177648,0.1508103008103008,0.19790606219177648,0.1508103008103008,0.3837301587301587,0.5357142857142857,0.5497736390593533,0.5004582718868433,0.6482561089703947,0.7237706737706738,0.17013700585129157,0.213134484563056,0.011904761904761904,0.05670995670995671,77.03277436848865,75.54867592724736,13.415567369138797,6.41383140668855,7.047269397269397,5.8098488812774525,0.44421768707482995,0.5931972789115647,0.0,0.005952380952380952,0.6146258503401361,0.7916666666666666,0.24308390022675735,0.15178571428571427,3181.3973117317105,3263.5256456888974,7050.713455988456,6849.669490033776,2364.347497417704,2305.7178354957396,0.3883089133089133,0.31793761793761793,0.16479591836734692,0.4379251700680272,0.1113128934557506,0.140424654710369,0.14184347398633113,0.19822479108193394,2.398057894486466,2.5194955837812985,0.044578931535453274,0.05145619784495496,11030.496646210931,12708.92009102009,2676.072339961626,4008.606139891854,3873.737803862804,3752.5995607567033,2311.368885083171,3560.6645568716995,869.5099640558603,538.0804751246894,0.44367853698988224,0.15713624547483532,23.214285714285715,2.385072974017541,1.1970547661481474,1
Banjo,11.4,9.9,0.11696969696969697,0.06971361971361971,0.16757575757575757,0.17488067488067488,0.16757575757575757,0.17488067488067488,0.5833333333333333,0.35,0.9213636363636363,0.6761849261849262,0.5634848484848485,0.6635031635031635,0.29424242424242425,0.19965589965589964,0.022424242424242423,0.023376623376623377,124.17939393939393,95.10217005217005,21.352272727272727,9.615467865467865,14.227272727272728,2.9164169164169165,0.6206809856809856,0.6361363636363636,0.0,0.0,0.702030192030192,0.7300757575757576,0.18911588411588412,0.19492424242424242,2875.1072252747254,3162.5786724386726,6607.821212121213,7127.308852258851,2292.0253021340836,2650.614383030535,0.47287878787878784,0.36896436896436896,0.211002886002886,0.36454545454545456,0.17833333333333332,0.2384004884004884,0.07212121212121211,0.22223887223887223,2.294090909090909,2.5696914196914196,0.08545158628278013,0.09493665519207314,13788.43984848485,11435.361688311688,4346.259242424242,3715.431335331335,4288.859848484849,4245.6659285159285,2254.3807575757573,2683.7924464424464,743.5065380216059,471.92196369004813,0.39844739600991297,0.16297647305443166,21.3,4.8272190825123,2.4009802635218294,1
Brollan,10.0,8.777777777777779,0.12142857142857144,0.12654320987654322,0.2892857142857143,0.39382716049382716,0.2892857142857143,0.39382716049382716,0.4166666666666667,0.2962962962962963,0.6509259259259259,0.6111111111111112,0.6564814814814814,0.8018518518518518,0.32738095238095233,0.2518518518518518,0.0455026455026455,0.053703703703703705,98.46455026455027,90.04074074074074,15.454894179894179,9.303703703703704,10.260846560846561,1.7222222222222223,0.46070226070226067,0.5669238169238169,0.0,0.008547008547008548,0.7309523809523809,0.6057831057831058,0.167989417989418,0.21731971731971733,2661.010141093475,3836.1639329806003,6151.685846560847,6404.937654320988,2150.482280329947,2271.100974941631,0.40859788359788357,0.2660493827160494,0.10216450216450218,0.24136049136049134,0.06587301587301587,0.18209876543209877,0.17407407407407408,0.1611111111111111,2.1673280423280423,2.5320987654320986,0.03391758006648893,0.08702359346642469,10683.087433862434,11956.372222222222,2290.890476190476,3385.2345679012346,4000.8662698412695,5019.804320987654,1806.4517195767196,2564.654938271605,868.5984031125074,470.9903866837071,0.46244058193487564,0.08194444533779949,18.77777777777778,0.48640980602891426,1.405290204085367,3
Dawy,9.4,9.3,0.13045454545454546,0.09898989898989899,0.23015151515151513,0.2893650793650794,0.23015151515151513,0.2893650793650794,0.42666666666666664,0.23500000000000001,0.7226262626262626,0.6570274170274171,0.7056565656565656,0.902987012987013,0.29808080808080806,0.3529004329004329,0.008333333333333333,0.0,103.52474747474749,105.5160028860029,15.756161616161615,10.423694083694084,4.600606060606061,4.364545454545455,0.463989898989899,0.5176190476190476,0.0,0.0,0.7659090909090909,0.8057142857142857,0.12297979797979797,0.08428571428571427,2333.2575757575755,3097.96262987013,5760.661767676768,5486.297936507936,2290.8245898845,2290.2140080404565,0.31343434343434345,0.21095238095238095,0.37742424242424244,0.23321428571428568,0.2565151515151515,0.13686868686868686,0.10505050505050506,0.25871572871572873,2.6565656565656566,3.1272150072150073,0.1016297237223616,0.042835816144639674,9984.471262626263,9649.925988455989,2397.6991414141416,2938.163737373737,3673.532121212121,2685.04253968254,1821.9248989898988,2679.7321067821067,540.7273738839484,349.6456125342675,0.23565107503726548,0.07198064462374158,18.700000000000003,-1.6515068664408994,2.316708001156284,2
EliGE,6.666666666666667,6.833333333333333,0.18055555555555555,0.04047619047619048,0.3541666666666667,0.10086580086580087,0.3541666666666667,0.10086580086580087,0.3055555555555555,0.16666666666666666,0.6041666666666666,0.33614718614718614,0.6805555555555555,0.822943722943723,0.19444444444444445,0.13982683982683983,0.0,0.011904761904761904,85.16666666666667,51.62186147186147,15.625,6.364935064935065,5.8125,3.8696969696969696,0.4582010582010582,0.38472222222222224,0.0,0.0,0.5796296296296296,0.48055555555555557,0.20370370370370372,0.13749999999999998,2966.048611111111,2666.72117003367,4966.381944444444,4435.955194805195,1699.787033287969,1647.5017478592497,0.23611111111111108,0.08744588744588744,0.11084656084656085,0.3125,0.09722222222222221,0.1357142857142857,0.13888888888888887,0.14956709956709957,2.361111111111111,2.9564935064935067,0.03458646616541353,0.03563829787234042,8032.076388888888,5487.496103896105,1941.0,1280.2337662337661,3265.3958333333335,2370.662554112554,1030.5833333333333,1036.1391774891774,499.7434249746788,350.2384366420383,0.27027733312291957,0.10353670352999121,13.5,-9.131963328549611,-2.6425017776363036,4
Ex3rcice,9.8,9.4,0.08710907393260335,0.07998582463288345,0.17635090399796283,0.26014828961887787,0.17635090399796283,0.26014828961887787,0.456,0.39,0.6603279857397504,0.6086566505390034,0.7141409048467873,0.7971631440454969,0.23389287836346662,0.17504235633647397,0.03540259740259741,0.01490909090909091,92.9983834988541,84.49846872082166,14.085055937526526,9.681806213394449,5.867045072574484,7.363449961802903,0.4366342546342546,0.5568225108225109,0.013333333333333332,0.007777777777777777,0.7296701076701076,0.691062049062049,0.19788544788544787,0.19674603174603175,2722.5709103119107,3097.2490081030082,5870.103218572277,6584.962391562685,2261.9866091664367,2965.660777660679,0.3073924115100586,0.3050186741363212,0.25137018537018535,0.2623362193362193,0.1499719887955182,0.1584172820643409,0.14961208725914607,0.16718775995246585,2.438758848994143,2.8168697054579406,0.06709188618531041,0.059033238869023466,9833.187334182157,9693.890601986248,2598.2542327476444,2764.273788897377,3364.30386282998,3465.0104200831847,2179.767226041932,1842.6963823105,718.2502194075688,487.47754987449423,0.37951788086539046,0.18783469122138996,19.200000000000003,-0.7804176809665045,1.933163423888803,2
FaNg,9.0,8.5,0.09722222222222221,0.0625,0.19444444444444442,0.17559523809523808,0.19444444444444442,0.17559523809523808,0.375,0.25,0.8194444444444444,0.5,1.0069444444444444,0.8958333333333333,0.11805555555555555,0.13392857142857142,0.020833333333333332,0.0,101.67361111111111,89.10714285714286,21.104166666666664,6.625,8.958333333333332,7.767857142857142,0.5681547619047619,0.5705128205128205,0.0,0.038461538461538464,0.3794642857142857,0.4423076923076923,0.33363095238095236,0.2692307692307692,2605.7976190476193,4387.759722222222,5808.597222222223,5325.261904761905,3848.8718594984593,1942.8950201013913,0.10416666666666666,0.2232142857142857,0.3773809523809524,0.44871794871794873,0.3194444444444444,0.20833333333333331,0.06944444444444445,0.15476190476190477,3.4166666666666665,3.0327380952380953,0.09671717171717172,0.0805984555984556,6491.305555555556,9925.279761904761,1251.1458333333333,2650.5833333333335,3212.909722222222,3586.098214285714,849.1736111111111,1996.7619047619048,688.8642162108338,414.05900178633425,0.3124714742401232,0.11024576958022975,17.5,-4.672914784768865,1.0010164107947113,2
FalleN,9.583333333333334,8.833333333333334,0.13105459355459356,0.04292929292929293,0.24325998075998076,0.2082070707070707,0.24325998075998076,0.2082070707070707,0.4791666666666667,0.16111111111111112,0.7292568542568542,0.5386183261183262,0.5624218374218374,0.732106782106782,0.21316738816738814,0.2632034632034632,0.006944444444444444,0.07222222222222223,105.80832130832131,74.02925685425686,14.685389610389612,6.568127705627706,8.00036075036075,4.563690476190476,0.4712632275132275,0.4604090354090354,0.04348544973544973,0.03914835164835165,0.5121693121693122,0.5262057387057387,0.19206349206349205,0.1876882376882377,2570.558134920635,3856.7771675084173,5870.845947570947,5746.083874458874,2202.1312387924286,2598.447121981692,0.37183742183742186,0.23419913419913418,0.13475529100529102,0.1716168091168091,0.11498917748917747,0.09233405483405484,0.12278739778739778,0.17831890331890332,1.9348905723905725,2.4812229437229436,0.05924919484702093,0.03516571994832864,9970.408880471381,10530.222222222223,2094.760161135161,3084.64227994228,4008.584006734007,4154.677922077922,1879.9303872053872,2938.141017316017,767.3366973565612,437.8731877006531,0.4022192130277429,0.1208430425726814,18.416666666666668,-0.6840152612713641,-0.9526212462757867,3
